dataset,split,contract,family_size,family_correct,confidence,per_candidate_confidence,risk_confidence,fp_confidence,alpha,alpha_select,beta_fp,iou,threshold,threshold_feasible,cal_cp,cal_risk,cal_misses,cal_n_gt,cal_tp,cal_fp,cal_precision,cal_images,cal_fp_img,cal_fp_upper,eval_risk,eval_misses,eval_n_gt,eval_tp,eval_fp,eval_cp,eval_precision,eval_images,eval_fp_img,eval_fp_upper,eval_pass,group_bad_cp,group_bad,group_n,contract_record,cal_feasible,utility_feasible,joint_feasible,selected
uavdt,random2,union,9,True,0.95,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.16,0.151,150.0,0.25,0.03458704717922956,True,0.15035950034598455,0.13777416734362308,848,6155,5307,29814,0.15110617579226104,153,194.86274509803923,225.35941052057115,0.13288426209430496,651,4899,4248,27894,0.1411256257175774,0.13216352436064963,152,183.51315789473685,204.543930602839,True,0.5719248870146982,39,82,"{'name': 'union', 'resolution': None, 'nms_iou': None, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",True,False,False,False
uavdt,random2,nms040,9,True,0.95,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.16,0.151,150.0,0.25,0.024166956916451456,True,0.1508645318254455,0.13826157595450853,851,6155,5304,17101,0.23673287212675742,153,111.77124183006536,153.3790183637084,0.12655644008981426,620,4899,4279,16496,0.13463685462773461,0.20596871239470518,152,108.52631578947368,138.30708849757585,True,0.32118612034307137,19,82,"{'name': 'nms040', 'resolution': None, 'nms_iou': 0.4, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",True,False,False,True
uavdt,random2,nms040_cap300,9,True,0.95,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.16,0.151,150.0,0.25,0.02255778507096693,True,0.14968604540572977,0.1371242891957758,844,6155,5311,17625,0.23155737704918034,153,115.19607843137256,156.80385496501557,0.1239028373137375,607,4899,4292,17078,0.13191387824834522,0.200842302292934,152,112.35526315789474,142.1360358659969,True,0.3079317543502073,18,82,"{'name': 'nms040_cap300', 'resolution': None, 'nms_iou': 0.4, 'max_det': 300, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",True,False,False,False
uavdt,random2,nms040_cap300_sf003,9,True,0.95,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.16,0.151,150.0,0.25,0.02294707978144288,True,0.1508645318254455,0.13826157595450853,851,6155,5304,17475,0.23284604240748058,153,114.2156862745098,155.82346280815284,0.12471933047560727,611,4899,4288,16902,0.13275183865112988,0.20235960358659746,152,111.19736842105263,140.97814112915478,True,0.3079317543502073,18,82,"{'name': 'nms040_cap300_sf003', 'resolution': None, 'nms_iou': 0.4, 'max_det': 300, 'score_floor': 0.003, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",True,False,False,False
uavdt,random2,support_soft_a,9,True,0.95,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.16,0.151,150.0,0.25,0.020803531003184616,True,0.15035950034598455,0.13777416734362308,848,6155,5307,17834,0.2293332180977486,153,116.56209150326798,158.169868036911,0.12329046744233517,604,4899,4295,17268,0.13128533626229003,0.1991837870426193,152,113.60526315789474,143.3860358659969,True,0.32118612034307137,19,82,"{'name': 'support_soft_a', 'resolution': None, 'nms_iou': 0.4, 'max_det': 300, 'score_floor': 0.0, 'support_iou': 0.45, 'dual_bonus': 0.04, 'single_penalty_640': 0.8, 'single_penalty_960': 0.9, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",True,False,False,False
uavdt,random2,support_soft_b,9,True,0.95,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.16,0.151,150.0,0.25,0.019146901043131947,True,0.14968604540572977,0.1371242891957758,844,6155,5311,17830,0.22950607147487145,153,116.5359477124183,158.14372424606134,0.12308634415186773,603,4899,4296,17258,0.131075808535418,0.19931335250997495,152,113.53947368421052,143.3202463923127,True,0.32118612034307137,19,82,"{'name': 'support_soft_b', 'resolution': None, 'nms_iou': 0.4, 'max_det': 300, 'score_floor': 0.0, 'support_iou': 0.5, 'dual_bonus': 0.06, 'single_penalty_640': 0.7, 'single_penalty_960': 0.85, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",True,False,False,False
uavdt,random2,support_floor,9,True,0.95,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.16,0.151,150.0,0.25,0.020187059841118755,True,0.1508645318254455,0.13826157595450853,851,6155,5304,17529,0.23229536197608724,153,114.56862745098039,156.17640398462345,0.12492345376607471,612,4899,4287,16961,0.13296131178012213,0.2017601656626506,152,111.58552631578948,141.36629902389163,True,0.3079317543502073,18,82,"{'name': 'support_floor', 'resolution': None, 'nms_iou': 0.4, 'max_det': 300, 'score_floor': 0.0, 'support_iou': 0.45, 'dual_bonus': 0.06, 'single_penalty_640': 0.7, 'single_penalty_960': 0.85, 'unsupported_floor': 0.015, 'seq_center': None, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",True,False,False,False
uavdt,random2,support_cap200,9,True,0.95,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.16,0.151,150.0,0.25,0.004961429361719639,False,0.21864808367534397,0.20406173842404549,1256,6155,4899,24148,0.1686576927049265,153,157.83006535947712,199.43784189312018,0.17922024903041436,878,4899,4021,24655,0.18847636002861692,0.14022178825498674,152,162.20394736842104,191.98472007652322,False,0.932321871573099,72,82,"{'name': 'support_cap200', 'resolution': None, 'nms_iou': 0.4, 'max_det': 200, 'score_floor': 0.0, 'support_iou': 0.45, 'dual_bonus': 0.06, 'single_penalty_640': 0.75, 'single_penalty_960': 0.88, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",False,False,False,False
uavdt,random3,raw960,9,True,0.95,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.16,0.151,150.0,0.25,0.013050881493836642,False,0.15666078721254345,0.1440316205533597,911,6325,5414,35896,0.13105785524086178,153,234.6143790849673,276.2221556186103,0.13914146754070628,658,4729,4071,37648,0.14769039939589557,0.09758143771423093,152,247.68421052631578,277.46498323441796,True,0.9511311931606774,75,83,"{'name': 'raw960', 'resolution': 960, 'nms_iou': None, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",False,False,False,False
uavdt,random3,union,9,True,0.95,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.16,0.151,150.0,0.25,0.06187747481744737,True,0.15011478634425388,0.1377075098814229,871,6325,5454,18963,0.2233689642462219,153,123.94117647058823,157.23522751403522,0.16240219919644744,768,4729,3961,18115,0.17148358302591024,0.17942562058343903,152,119.17763157894737,143.87287797126007,False,0.4446006263262898,29,83,"{'name': 'union', 'resolution': None, 'nms_iou': None, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",True,False,False,False
