iou,contract,selected,risk_feas,fp_feas,joint_feas,threshold,CP_U,FP_U_cert,eval_risk,risk_CI95_lo,risk_CI95_hi,eval_precision,eval_FP_img,eval_FP_U,eval_misses,eval_n
0.25,raw640,False,False,False,False,0.001,0.2722791363232358,209.86438857773345,0.2451879010082493,0.22726008909959694,0.26380255674357606,0.1484184914841849,138.97058823529412,183.49552379853472,535,2182
0.25,raw960,False,True,False,False,0.01875,0.159897812788322,238.3960341473537,0.1365719523373052,0.1224297691408822,0.1516977853947669,0.1313715919391953,183.19117647058823,227.7161120338289,298,2182
0.25,union,False,True,False,False,0.05625,0.1590861042342345,173.6154434300541,0.1388634280476627,0.12461714325675906,0.15408702254999307,0.1992365602799279,111.05882352941175,148.89258262206414,303,2182
0.25,nms040,False,True,False,False,0.025,0.1499180670744984,156.37493710094023,0.1182401466544454,0.10498238926111243,0.13253249984339183,0.2203389830508474,100.11764705882354,144.64258262206414,258,2182
0.25,nms040_cap300,False,True,False,False,0.025,0.1518920980677632,155.82219448490645,0.1214482126489459,0.10802866496329995,0.1358934083890521,0.220852534562212,99.45588235294116,143.9808179161818,265,2182
0.25,nms040_cap300_sf003,False,True,False,False,0.025,0.1518920980677632,155.82219448490645,0.1214482126489459,0.10802866496329995,0.1358934083890521,0.220852534562212,99.45588235294116,143.9808179161818,265,2182
0.25,support_soft_a,False,True,True,True,0.03125,0.1592020689049884,141.58590756507525,0.1324472960586618,0.118495943233218,0.14739372535764356,0.2480345911949685,84.3970588235294,128.92199438677002,289,2182
0.25,support_soft_b,False,True,True,True,0.025,0.1572303815593415,148.79687802921023,0.1292392300641613,0.11543945967906136,0.1440429778125271,0.2338749384539635,91.52941176470588,136.0543473279465,282,2182
0.25,support_floor,True,True,True,True,0.03,0.1597818607194839,140.21459954819758,0.1338221814848762,0.11980671825953625,0.14882891020057637,0.2508294625082946,83.01470588235294,127.53964144559356,292,2182
0.25,support_cap200,False,False,False,False,0.00625,0.2079720015222755,204.7462451178178,0.1814848762603116,0.16552016080512963,0.1983097728004773,0.1396840294071641,161.76470588235293,206.2896414455935,396,2182
0.5,raw640,False,False,False,False,0.001,0.4113381479803786,215.01628731191067,0.3872593950504124,0.36675419693782985,0.40806790438965396,0.1204830134270523,143.52941176470588,188.0543473279465,845,2182
0.5,raw960,False,False,False,False,0.01,0.2540607733494544,300.0,0.2318973418881759,0.21432928685112732,0.2501882931812063,0.082156862745098,275.3529411764706,300.0,506,2182
0.5,union,True,False,False,False,0.001,0.2008257406740856,300.0,0.1714023831347387,0.15581010766118816,0.18788243409957145,0.0574022922818046,436.6029411764706,300.0,374,2182
0.5,nms040,False,False,False,False,0.001,0.2575004714341804,260.7124898435562,0.2222731439046746,0.2049809054496036,0.2403144164521426,0.1057584444721426,211.01470588235293,255.51022968088768,485,2182
0.5,nms040_cap300,False,False,False,False,0.001,0.2588760496005874,259.2441354131765,0.224564619615032,0.20720550778076965,0.2426665397060605,0.1061147695202257,209.60294117647055,254.1278767397112,490,2182
0.5,nms040_cap300_sf003,False,False,False,False,0.003,0.2593345376986977,241.40447296591915,0.224564619615032,0.20720550778076965,0.2426665397060605,0.1138857104395234,193.60294117647055,238.1278767397112,490,2182
0.5,support_soft_a,False,False,False,False,0.0,0.2584175425472997,258.96987380980096,0.225481209899175,0.20809556131517506,0.24360717686130848,0.1061024610748367,209.3823529411765,253.9072885044171,492,2182
0.5,support_soft_b,False,False,False,False,0.0,0.2591052960168459,259.00784849334525,0.226397800183318,0.2089857355460314,0.24454769357637338,0.106010173962193,209.33823529411765,253.86317085735823,494,2182
0.5,support_floor,False,False,False,False,0.0125,0.2603660667957933,194.4171311937672,0.2268560953253895,0.2094308677601306,0.2450179069304991,0.1483076923076923,142.47058823529412,186.9955237985347,495,2182
0.5,support_cap200,False,False,False,False,0.00625,0.3125128536860383,208.59434638364064,0.2836846929422548,0.2648420415907475,0.3031099856158993,0.1222430783669638,165.0441176470588,209.5690532102994,619,2182
