img_id,img_name,seq,n_gt,misses,tp,fp,risk,dataset,split,contract,threshold
398,0000316_00201_d_0000520.jpg,0000316,54,20,34,77,0.37037037037037035,visdrone,image_lockbox,union,0.2603556789457798
401,0000316_00801_d_0000523.jpg,0000316,27,11,16,85,0.4074074074074074,visdrone,image_lockbox,union,0.2603556789457798
405,0000316_01601_d_0000527.jpg,0000316,29,8,21,48,0.27586206896551724,visdrone,image_lockbox,union,0.2603556789457798
418,0000327_01801_d_0000720.jpg,0000327,62,15,47,106,0.24193548387096775,visdrone,image_lockbox,union,0.2603556789457798
425,0000327_03801_d_0000730.jpg,0000327,103,28,75,162,0.27184466019417475,visdrone,image_lockbox,union,0.2603556789457798
428,0000330_00001_d_0000800.jpg,0000330,80,13,67,119,0.1625,visdrone,image_lockbox,union,0.2603556789457798
437,0000330_01801_d_0000809.jpg,0000330,64,11,53,104,0.171875,visdrone,image_lockbox,union,0.2603556789457798
440,0000330_02801_d_0000814.jpg,0000330,45,2,43,78,0.044444444444444446,visdrone,image_lockbox,union,0.2603556789457798
441,0000330_03001_d_0000815.jpg,0000330,45,5,40,65,0.1111111111111111,visdrone,image_lockbox,union,0.2603556789457798
444,0000330_04201_d_0000821.jpg,0000330,162,40,122,189,0.24691358024691357,visdrone,image_lockbox,union,0.2603556789457798
445,0000330_04401_d_0000822.jpg,0000330,38,8,30,60,0.21052631578947367,visdrone,image_lockbox,union,0.2603556789457798
449,0000333_01961_d_0000011.jpg,0000333,65,6,59,89,0.09230769230769231,visdrone,image_lockbox,union,0.2603556789457798
451,0000333_02353_d_0000013.jpg,0000333,70,10,60,75,0.14285714285714285,visdrone,image_lockbox,union,0.2603556789457798
461,0000335_00393_d_0000045.jpg,0000335,34,6,28,53,0.17647058823529413,visdrone,image_lockbox,union,0.2603556789457798
469,0000335_02745_d_0000057.jpg,0000335,99,25,74,119,0.25252525252525254,visdrone,image_lockbox,union,0.2603556789457798
471,0000335_03333_d_0000060.jpg,0000335,40,2,38,57,0.05,visdrone,image_lockbox,union,0.2603556789457798
474,0000335_04117_d_0000064.jpg,0000335,28,1,27,31,0.03571428571428571,visdrone,image_lockbox,union,0.2603556789457798
478,0000335_06469_d_0000076.jpg,0000335,8,2,6,8,0.25,visdrone,image_lockbox,union,0.2603556789457798
484,0000346_01961_d_0000356.jpg,0000346,71,26,45,124,0.36619718309859156,visdrone,image_lockbox,union,0.2603556789457798
489,0000348_03333_d_0000423.jpg,0000348,15,3,12,21,0.2,visdrone,image_lockbox,union,0.2603556789457798
492,0000356_01569_d_0000637.jpg,0000356,100,40,60,140,0.4,visdrone,image_lockbox,union,0.2603556789457798
497,0000356_02745_d_0000643.jpg,0000356,97,28,69,129,0.28865979381443296,visdrone,image_lockbox,union,0.2603556789457798
502,0000356_03921_d_0000649.jpg,0000356,72,8,64,163,0.1111111111111111,visdrone,image_lockbox,union,0.2603556789457798
507,0000356_05097_d_0000655.jpg,0000356,114,31,83,122,0.2719298245614035,visdrone,image_lockbox,union,0.2603556789457798
510,0000359_00589_d_0000702.jpg,0000359,39,3,36,55,0.07692307692307693,visdrone,image_lockbox,union,0.2603556789457798
511,0000359_00785_d_0000703.jpg,0000359,30,3,27,54,0.1,visdrone,image_lockbox,union,0.2603556789457798
512,0000359_00981_d_0000704.jpg,0000359,33,3,30,119,0.09090909090909091,visdrone,image_lockbox,union,0.2603556789457798
518,0000359_03333_d_0000711.jpg,0000359,13,0,13,19,0.0,visdrone,image_lockbox,union,0.2603556789457798
523,0000360_00589_d_0000716.jpg,0000360,60,13,47,92,0.21666666666666667,visdrone,image_lockbox,union,0.2603556789457798
529,0000360_03137_d_0000729.jpg,0000360,56,8,48,79,0.14285714285714285,visdrone,image_lockbox,union,0.2603556789457798
535,0000360_05293_d_0000740.jpg,0000360,70,20,50,79,0.2857142857142857,visdrone,image_lockbox,union,0.2603556789457798
541,0000360_07253_d_0000750.jpg,0000360,28,3,25,44,0.10714285714285714,visdrone,image_lockbox,union,0.2603556789457798
543,0000364_00589_d_0000798.jpg,0000364,62,23,39,139,0.3709677419354839,visdrone,image_lockbox,union,0.2603556789457798
2,0000001_03999_d_0000007.jpg,0000001,48,13,35,119,0.2708333333333333,visdrone,image_lockbox,nms040,0.22784658670425417
5,0000001_05499_d_0000010.jpg,0000001,140,35,105,86,0.25,visdrone,image_lockbox,nms040,0.22784658670425417
6,0000001_05999_d_0000011.jpg,0000001,115,33,82,93,0.28695652173913044,visdrone,image_lockbox,nms040,0.22784658670425417
20,0000024_00000_d_0000012.jpg,0000024,21,9,12,16,0.42857142857142855,visdrone,image_lockbox,nms040,0.22784658670425417
21,0000024_00500_d_0000013.jpg,0000024,10,3,7,9,0.3,visdrone,image_lockbox,nms040,0.22784658670425417
