dataset,split,contract,family_size,threshold_grid_size,family_correct,confidence,per_candidate_confidence,risk_confidence,fp_confidence,alpha,alpha_select,beta_fp,iou,threshold,threshold_feasible,cal_cp,cal_risk,cal_misses,cal_n_gt,cal_tp,cal_fp,cal_precision,cal_images,cal_fp_img,cal_fp_upper,eval_risk,eval_misses,eval_n_gt,eval_tp,eval_fp,eval_cp,eval_precision,eval_images,eval_fp_img,eval_fp_upper,eval_pass,group_bad_cp,group_bad,group_n,contract_record,cal_feasible,utility_feasible,joint_feasible,selected
uavdt,random1,raw640,10,175,False,0.95,0.95,0.95,0.95,0.16,0.16,150.0,0.25,0.001,False,0.2705301915409524,0.2609866980973228,1550,5939,4389,24342,0.15276182520622325,153,159.09803921568627,188.78132959118003,0.250830889540567,1283,5115,3832,23938,0.2610022629942709,0.13799063737846598,152,157.48684210526315,187.26761481336533,False,0.5782954624961971,39,81,"{'name': 'raw640', 'resolution': 640, 'nms_iou': None, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",False,False,False,False
uavdt,random1,raw960,10,175,False,0.95,0.95,0.95,0.95,0.16,0.16,150.0,0.25,0.02,True,0.15923289325169382,0.15137228489644722,899,5939,5040,28151,0.1518483926365581,153,183.99346405228758,213.67675442778133,0.14799608993157382,757,5115,4358,27402,0.156409166580359,0.13721662468513854,152,180.27631578947367,210.05708849757585,True,0.6615131506500905,46,81,"{'name': 'raw960', 'resolution': 960, 'nms_iou': None, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",True,False,False,False
uavdt,random1,union,10,175,False,0.95,0.95,0.95,0.95,0.16,0.16,150.0,0.25,0.07500000000000001,True,0.15957650785097288,0.1517090419262502,901,5939,5038,17197,0.22657971666291882,153,112.39869281045752,136.33688514673557,0.15640273704789834,800,5115,4315,15731,0.16499933478605436,0.21525491369849348,152,103.49342105263158,128.58998323441793,True,0.3776910957598942,23,81,"{'name': 'union', 'resolution': None, 'nms_iou': None, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",True,True,True,False
uavdt,random1,nms040,10,175,False,0.95,0.95,0.95,0.95,0.16,0.16,150.0,0.25,0.035,True,0.15957650785097288,0.1517090419262502,901,5939,5038,13371,0.2736704872616655,153,87.3921568627451,117.07544723823884,0.1501466275659824,768,5115,4347,12976,0.15860748952253226,0.2509380592276165,152,85.36842105263158,115.14919376073372,True,0.3249102004120141,19,81,"{'name': 'nms040', 'resolution': None, 'nms_iou': 0.4, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",True,True,True,False
uavdt,random1,nms040_cap300,10,175,False,0.95,0.95,0.95,0.95,0.16,0.16,150.0,0.25,0.03125,True,0.15682722148016517,0.14901498568782623,885,5939,5054,14380,0.26005968920448697,153,93.98692810457516,123.67021848006891,0.15053763440860216,770,5115,4345,14004,0.15900712171426387,0.23679764564826422,152,92.13157894736842,121.91235165547057,True,0.3249102004120141,19,81,"{'name': 'nms040_cap300', 'resolution': None, 'nms_iou': 0.4, 'max_det': 300, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",True,True,True,False
uavdt,random1,nms040_cap300_sf003,10,175,False,0.95,0.95,0.95,0.95,0.16,0.16,150.0,0.25,0.03125,True,0.15682722148016517,0.14901498568782623,885,5939,5054,14380,0.26005968920448697,153,93.98692810457516,123.67021848006891,0.15053763440860216,770,5115,4345,14004,0.15900712171426387,0.23679764564826422,152,92.13157894736842,121.91235165547057,True,0.3249102004120141,19,81,"{'name': 'nms040_cap300_sf003', 'resolution': None, 'nms_iou': 0.4, 'max_det': 300, 'score_floor': 0.003, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",True,True,True,False
uavdt,random1,support_soft_a,10,175,False,0.95,0.95,0.95,0.95,0.16,0.16,150.0,0.25,0.05,True,0.15940470218990657,0.15154066341134872,900,5939,5039,11417,0.3062105007292173,153,74.62091503267973,104.30420540817349,0.15386119257087,787,5115,4328,11054,0.16240322646227953,0.28136783253153036,152,72.72368421052632,102.50445691862846,True,0.3115086463644208,18,81,"{'name': 'support_soft_a', 'resolution': None, 'nms_iou': 0.4, 'max_det': 300, 'score_floor': 0.0, 'support_iou': 0.45, 'dual_bonus': 0.04, 'single_penalty_640': 0.8, 'single_penalty_960': 0.9, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",True,True,True,True
uavdt,random1,support_soft_b,10,175,False,0.95,0.95,0.95,0.95,0.16,0.16,150.0,0.25,0.043750000000000004,True,0.15992010935955178,0.15204579895605322,903,5939,5036,11506,0.3044371901825656,153,75.20261437908496,104.88590475457873,0.1565982404692082,801,5115,4314,11134,0.16519900317592845,0.2792594510616261,152,73.25,103.03077270810215,True,0.3115086463644208,18,81,"{'name': 'support_soft_b', 'resolution': None, 'nms_iou': 0.4, 'max_det': 300, 'score_floor': 0.0, 'support_iou': 0.5, 'dual_bonus': 0.06, 'single_penalty_640': 0.7, 'single_penalty_960': 0.85, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",True,True,True,False
uavdt,random1,support_floor,10,175,False,0.95,0.95,0.95,0.95,0.16,0.16,150.0,0.25,0.045,True,0.15871744672922916,0.15086714935174272,896,5939,5043,11745,0.3003931379556826,153,76.76470588235294,106.4479962578467,0.15405669599217986,788,5115,4327,11340,0.1626029549308555,0.2761856130720623,152,74.60526315789474,104.38603586599687,True,0.3115086463644208,18,81,"{'name': 'support_floor', 'resolution': None, 'nms_iou': 0.4, 'max_det': 300, 'score_floor': 0.0, 'support_iou': 0.45, 'dual_bonus': 0.06, 'single_penalty_640': 0.7, 'single_penalty_960': 0.85, 'unsupported_floor': 0.015, 'seq_center': None, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",True,True,True,False
uavdt,random1,support_cap200,10,175,False,0.95,0.95,0.95,0.95,0.16,0.16,150.0,0.25,0.01,False,0.20243519302894145,0.19380367065162485,1151,5939,4788,23352,0.1701492537313433,153,152.62745098039215,182.31074135588588,0.19237536656891496,984,5115,4131,24014,0.20166758189000408,0.1467756262213537,152,157.98684210526315,187.7676148133653,False,0.8511721624525461,63,81,"{'name': 'support_cap200', 'resolution': None, 'nms_iou': 0.4, 'max_det': 200, 'score_floor': 0.0, 'support_iou': 0.45, 'dual_bonus': 0.06, 'single_penalty_640': 0.75, 'single_penalty_960': 0.88, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",False,False,False,False
