dataset,split,contract,family_size,family_correct,confidence,per_candidate_confidence,alpha,beta_fp,iou,threshold,threshold_feasible,cal_cp,cal_risk,cal_precision,cal_fp_img,cal_fp_upper,eval_risk,eval_cp,eval_precision,eval_fp_img,eval_fp_upper,eval_pass,group_bad_cp,group_bad,group_n,contract_record,cal_feasible,utility_feasible,joint_feasible,selected,selection_mode
visdrone,image_lockbox,nms040_cap300_sf003,9,False,0.95,0.95,0.29,150.0,0.25,0.23188901543617255,True,0.28970182244403514,0.2853230168783594,0.4910840312411781,52.380145278450364,70.44700739680682,0.27424083769633506,0.28185261686927615,0.4735583492757584,57.074074074074076,88.67434977727002,True,0.44462329581884186,16,50,"{'name': 'nms040_cap300_sf003', 'resolution': None, 'nms_iou': 0.4, 'max_det': 300, 'score_floor': 0.003, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",True,True,True,True,joint_feasible_min_fp_upper
visdrone,sequence,nms040_cap300_sf003,9,False,0.95,0.95,0.29,150.0,0.25,0.24799164906144144,True,0.28944564045443544,0.28374144133689216,0.49285315020362536,46.35766423357664,68.53873332297466,0.29598141695702673,0.30114257897050956,0.5196488581030108,51.12408759124087,73.30515668063889,False,0.582026568673327,13,31,"{'name': 'nms040_cap300_sf003', 'resolution': None, 'nms_iou': 0.4, 'max_det': 300, 'score_floor': 0.003, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",True,True,True,True,joint_feasible_min_fp_upper
