img_id,img_name,seq,n_gt,misses,tp,fp,risk,dataset,split,contract,threshold
5,dji_399_150m00401_2.jpg,dji_399_150m00401,1,0,1,89,0.0,uavdt,image_lockbox,raw640,0.001
6,dji_399_150m00601_3.jpg,dji_399_150m00601,4,0,4,75,0.0,uavdt,image_lockbox,raw640,0.001
7,dji_399_150m00701_2.jpg,dji_399_150m00701,3,0,3,91,0.0,uavdt,image_lockbox,raw640,0.001
8,dji_399_150m00701_4.jpg,dji_399_150m00701,19,2,17,39,0.10526315789473684,uavdt,image_lockbox,raw640,0.001
10,dji_399_150m00801_2.jpg,dji_399_150m00801,4,0,4,98,0.0,uavdt,image_lockbox,raw640,0.001
14,dji_399_150m01101_6.jpg,dji_399_150m01101,14,1,13,73,0.07142857142857142,uavdt,image_lockbox,raw640,0.001
16,dji_399_150m01301_6.jpg,dji_399_150m01301,14,3,11,79,0.21428571428571427,uavdt,image_lockbox,raw640,0.001
21,dji_399_150m02201_4.jpg,dji_399_150m02201,22,2,20,39,0.09090909090909091,uavdt,image_lockbox,raw640,0.001
22,dji_399_150m02501_1.jpg,dji_399_150m02501,3,0,3,94,0.0,uavdt,image_lockbox,raw640,0.001
31,dji_477_150m01001_3.jpg,dji_477_150m01001,1,0,1,37,0.0,uavdt,image_lockbox,raw640,0.001
32,dji_477_150m01001_4.jpg,dji_477_150m01001,30,0,30,82,0.0,uavdt,image_lockbox,raw640,0.001
44,dji_64_150m00201_4.jpg,dji_64_150m00201,3,0,3,16,0.0,uavdt,image_lockbox,raw640,0.001
46,dji_64_150m00601_2.jpg,dji_64_150m00601,5,0,5,24,0.0,uavdt,image_lockbox,raw640,0.001
49,dji_64_150m01601_6.jpg,dji_64_150m01601,5,0,5,65,0.0,uavdt,image_lockbox,raw640,0.001
51,dji_64_150m02001_3.jpg,dji_64_150m02001,8,0,8,23,0.0,uavdt,image_lockbox,raw640,0.001
52,dji_64_150m02201_4.jpg,dji_64_150m02201,4,0,4,9,0.0,uavdt,image_lockbox,raw640,0.001
62,dji_65_150m01401_1.jpg,dji_65_150m01401,5,1,4,23,0.2,uavdt,image_lockbox,raw640,0.001
63,dji_65_150m01601_5.jpg,dji_65_150m01601,2,0,2,4,0.0,uavdt,image_lockbox,raw640,0.001
73,dji_65_150m03001_4.jpg,dji_65_150m03001,4,0,4,12,0.0,uavdt,image_lockbox,raw640,0.001
76,djibridge2_150m00601_1.jpg,djibridge2_150m00601,11,3,8,103,0.2727272727272727,uavdt,image_lockbox,raw640,0.001
78,djibridge2_150m01201_3.jpg,djibridge2_150m01201,10,0,10,38,0.0,uavdt,image_lockbox,raw640,0.001
81,djibridge_150m00201_5.jpg,djibridge_150m00201,17,1,16,91,0.058823529411764705,uavdt,image_lockbox,raw640,0.001
88,lim_1020.jpg,lim,235,104,131,169,0.4425531914893617,uavdt,image_lockbox,raw640,0.001
99,lim_1590.jpg,lim,240,107,133,167,0.44583333333333336,uavdt,image_lockbox,raw640,0.001
102,lim_1980.jpg,lim,242,111,131,169,0.45867768595041325,uavdt,image_lockbox,raw640,0.001
103,lim_2010.jpg,lim,240,109,131,169,0.45416666666666666,uavdt,image_lockbox,raw640,0.001
113,lim_3765.jpg,lim,207,62,145,155,0.2995169082125604,uavdt,image_lockbox,raw640,0.001
115,lim_3915.jpg,lim,205,70,135,165,0.34146341463414637,uavdt,image_lockbox,raw640,0.001
121,pavilion_048_1785.jpg,pavilion_048,20,13,7,256,0.65,uavdt,image_lockbox,raw640,0.001
126,pavilion_048_2070.jpg,pavilion_048,22,11,11,264,0.5,uavdt,image_lockbox,raw640,0.001
127,pavilion_048_2145.jpg,pavilion_048,23,13,10,220,0.5652173913043478,uavdt,image_lockbox,raw640,0.001
134,pavilion_048_2565.jpg,pavilion_048,26,12,14,277,0.46153846153846156,uavdt,image_lockbox,raw640,0.001
148,pavilion_048_3645.jpg,pavilion_048,21,9,12,236,0.42857142857142855,uavdt,image_lockbox,raw640,0.001
151,pavilion_048_3855.jpg,pavilion_048,20,8,12,249,0.4,uavdt,image_lockbox,raw640,0.001
160,pavilion_048_435.jpg,pavilion_048,20,12,8,247,0.6,uavdt,image_lockbox,raw640,0.001
173,pavilion_048_5415.jpg,pavilion_048,25,10,15,264,0.4,uavdt,image_lockbox,raw640,0.001
176,pavilion_048_5655.jpg,pavilion_048,24,9,15,199,0.375,uavdt,image_lockbox,raw640,0.001
182,pavilion_048_6000.jpg,pavilion_048,25,10,15,187,0.4,uavdt,image_lockbox,raw640,0.001
184,pavilion_048_6135.jpg,pavilion_048,23,11,12,182,0.4782608695652174,uavdt,image_lockbox,raw640,0.001
187,pavilion_048_630.jpg,pavilion_048,20,10,10,245,0.5,uavdt,image_lockbox,raw640,0.001
188,pavilion_048_6480.jpg,pavilion_048,22,13,9,283,0.5909090909090909,uavdt,image_lockbox,raw640,0.001
189,pavilion_048_6525.jpg,pavilion_048,23,12,11,255,0.5217391304347826,uavdt,image_lockbox,raw640,0.001
191,pavilion_048_6765.jpg,pavilion_048,23,8,15,219,0.34782608695652173,uavdt,image_lockbox,raw640,0.001
198,pavilion_048_7215.jpg,pavilion_048,22,10,12,204,0.45454545454545453,uavdt,image_lockbox,raw640,0.001
