dataset,split,contract,family_size,family_correct,confidence,per_candidate_confidence,alpha,beta_fp,iou,threshold,threshold_feasible,cal_cp,cal_risk,cal_precision,cal_fp_img,cal_fp_upper,eval_risk,eval_cp,eval_precision,eval_fp_img,eval_fp_upper,eval_pass,group_bad_cp,group_bad,group_n,contract_record,cal_feasible,utility_feasible,joint_feasible,selected
visdrone,image_lockbox,raw960,9,False,0.95,0.95,0.3,150.0,0.25,0.2447489008307457,True,0.2990548175225291,0.29463521517340546,0.429130824186124,66.36319612590799,84.43005824426444,0.2836649214659686,0.29135273844943177,0.41644852985937786,71.00740740740741,102.60768311060338,True,0.44462329581884186,16,50,"{'name': 'raw960', 'resolution': 960, 'nms_iou': None, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",True,True,True,False
visdrone,image_lockbox,union,9,False,0.95,0.95,0.3,150.0,0.25,0.2728303223848343,True,0.2962010148998362,0.2917936252524907,0.34575783913886476,94.77481840193704,112.80778221520875,0.2812565445026178,0.2889253225540461,0.3359271766260461,100.5111111111111,132.11138681430708,True,0.5657176268919503,22,50,"{'name': 'union', 'resolution': None, 'nms_iou': None, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",True,True,True,False
visdrone,image_lockbox,nms040,9,False,0.95,0.95,0.3,150.0,0.25,0.25193218849599364,True,0.29912358131398004,0.29470368721969253,0.5165876777251185,46.67796610169491,64.74482822005136,0.2841884816753927,0.2918804022411349,0.499196728494231,50.8,82.40027570319596,True,0.44462329581884186,16,50,"{'name': 'nms040', 'resolution': None, 'nms_iou': 0.4, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",True,True,True,False
visdrone,image_lockbox,nms040_cap300,9,False,0.95,0.95,0.3,150.0,0.25,0.25299970619380474,True,0.2996049245227444,0.2951829915437023,0.5179771040382438,46.38740920096852,64.45427131932497,0.28492146596858636,0.2926191104425279,0.5005130460275579,50.48148148148148,82.08175718467743,True,0.44462329581884186,16,50,"{'name': 'nms040_cap300', 'resolution': None, 'nms_iou': 0.4, 'max_det': 300, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",True,True,True,False
visdrone,image_lockbox,nms040_cap300_sf003,9,False,0.95,0.95,0.3,150.0,0.25,0.25,True,0.298435938039287,0.29401896675682154,0.5142778761503355,47.157384987893465,65.22424710624992,0.28345549738219894,0.29114166940944197,0.497094290280401,51.28148148148148,82.88175718467744,True,0.44462329581884186,16,50,"{'name': 'nms040_cap300_sf003', 'resolution': None, 'nms_iou': 0.4, 'max_det': 300, 'score_floor': 0.003, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",True,True,True,False
visdrone,image_lockbox,support_soft_a,9,False,0.95,0.95,0.3,150.0,0.25,0.24414763687178495,True,0.2991579631650702,0.2947379232428361,0.5184346294199069,46.3317191283293,64.39858124668575,0.28554973821989527,0.29325226934054355,0.49912216532553033,50.71851851851852,82.31879422171446,True,0.44462329581884186,16,50,"{'name': 'support_soft_a', 'resolution': None, 'nms_iou': 0.4, 'max_det': 300, 'score_floor': 0.0, 'support_iou': 0.45, 'dual_bonus': 0.04, 'single_penalty_640': 0.8, 'single_penalty_960': 0.9, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",True,True,True,True
visdrone,image_lockbox,support_soft_b,9,False,0.95,0.95,0.3,150.0,0.25,0.22959223777055757,True,0.29809211193087654,0.293676606525386,0.5097094574562704,48.05084745762712,66.11770957598357,0.2850261780104712,0.2927246381782891,0.49090516931483213,52.45185185185185,84.0521275550478,True,0.4026173821894412,14,50,"{'name': 'support_soft_b', 'resolution': None, 'nms_iou': 0.4, 'max_det': 300, 'score_floor': 0.0, 'support_iou': 0.5, 'dual_bonus': 0.06, 'single_penalty_640': 0.7, 'single_penalty_960': 0.85, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",True,True,True,False
visdrone,image_lockbox,support_floor,9,False,0.95,0.95,0.3,150.0,0.25,0.237318412438035,True,0.29963930595755695,0.2952172275668458,0.5142771490669265,47.077481840193705,65.14434395855015,0.28774869109947643,0.2954681838255955,0.49418773612322,51.57037037037037,83.17064607356633,True,0.44462329581884186,16,50,"{'name': 'support_floor', 'resolution': None, 'nms_iou': 0.4, 'max_det': 300, 'score_floor': 0.0, 'support_iou': 0.45, 'dual_bonus': 0.06, 'single_penalty_640': 0.7, 'single_penalty_960': 0.85, 'unsupported_floor': 0.015, 'seq_center': None, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",True,True,True,False
visdrone,image_lockbox,support_cap200,9,False,0.95,0.95,0.3,150.0,0.25,0.23999504052847626,True,0.29963930595755695,0.2952172275668458,0.5115932304480728,47.58595641646489,65.65281853482135,0.28617801047120417,0.2938854102206687,0.4920955749657114,52.11851851851852,83.71879422171448,True,0.4237329666080823,15,50,"{'name': 'support_cap200', 'resolution': None, 'nms_iou': 0.4, 'max_det': 200, 'score_floor': 0.0, 'support_iou': 0.45, 'dual_bonus': 0.06, 'single_penalty_640': 0.75, 'single_penalty_960': 0.88, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",True,True,True,False
visdrone,sequence,raw960,9,False,0.95,0.95,0.3,150.0,0.25,0.25988389551639557,True,0.2986660929083159,0.2929093652083092,0.43127123442808607,58.64963503649635,80.83070412589437,0.30420441347270616,0.309404964588628,0.46279587170137815,63.448905109489054,85.62997419888707,False,0.485416074399548,10,31,"{'name': 'raw960', 'resolution': 960, 'nms_iou': None, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",True,True,True,False
