dataset,split,contract,family_size,family_correct,confidence,per_candidate_confidence,alpha,beta_fp,iou,threshold,threshold_feasible,cal_cp,cal_risk,cal_precision,cal_fp_img,cal_fp_upper,eval_risk,eval_cp,eval_precision,eval_fp_img,eval_fp_upper,eval_pass,group_bad_cp,group_bad,group_n,contract_record,cal_feasible,utility_feasible,joint_feasible,selected
visdrone,image_lockbox,raw960,9,False,0.95,0.95,0.29,150.0,0.25,0.22201040461659433,True,0.2892547480852928,0.2848779485774932,0.39667287021915,76.92493946731234,94.99180158566881,0.27277486910994764,0.2803744453987487,0.38647746243739567,81.66666666666667,113.26694236986262,True,0.4857691512008064,18,50,"{'name': 'raw960', 'resolution': 960, 'nms_iou': None, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",True,True,True,False
visdrone,image_lockbox,union,9,False,0.95,0.95,0.29,150.0,0.25,0.2603556789457798,True,0.28849814889864794,0.2841247560683351,0.3328557784145177,101.47699757869249,119.49785485443395,0.2730890052356021,0.2806912050235103,0.3224188379545771,108.06666666666666,139.49657199949223,True,0.5460108369323096,21,50,"{'name': 'union', 'resolution': None, 'nms_iou': None, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",True,True,True,False
visdrone,image_lockbox,nms040,9,False,0.95,0.95,0.29,150.0,0.25,0.22784658670425417,True,0.2874663987511605,0.2830976753740286,0.48546390318542215,53.738498789346245,71.80536090770269,0.2724607329842932,0.28005768107606677,0.4679733279450394,58.51111111111111,90.11138681430705,True,0.4237329666080823,15,50,"{'name': 'nms040', 'resolution': None, 'nms_iou': 0.4, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",True,True,True,False
visdrone,image_lockbox,nms040_cap300,9,False,0.95,0.95,0.29,150.0,0.25,0.23036872800439603,True,0.2887388866156186,0.28436440823034,0.48902769979412314,52.883777239709445,70.9506393580659,0.2732984293193717,0.2809023754992293,0.4716275908936459,57.592592592592595,89.19286829578853,True,0.4237329666080823,15,50,"{'name': 'nms040_cap300', 'resolution': None, 'nms_iou': 0.4, 'max_det': 300, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",True,True,True,False
visdrone,image_lockbox,nms040_cap300_sf003,9,False,0.95,0.95,0.29,150.0,0.25,0.23188901543617255,True,0.28970182244403514,0.2853230168783594,0.4910840312411781,52.380145278450364,70.44700739680682,0.27424083769633506,0.28185261686927615,0.4735583492757584,57.074074074074076,88.67434977727002,True,0.44462329581884186,16,50,"{'name': 'nms040_cap300_sf003', 'resolution': None, 'nms_iou': 0.4, 'max_det': 300, 'score_floor': 0.003, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",True,True,True,True
visdrone,image_lockbox,support_soft_a,9,False,0.95,0.95,0.29,150.0,0.25,0.2219158806744963,True,0.28922035753543507,0.2848437125543497,0.4888145270744606,52.893462469733656,70.96032458809012,0.27591623036649215,0.2835418310697795,0.46948197433634326,57.88148148148148,89.48175718467743,True,0.4026173821894412,14,50,"{'name': 'support_soft_a', 'resolution': None, 'nms_iou': 0.4, 'max_det': 300, 'score_floor': 0.0, 'support_iou': 0.45, 'dual_bonus': 0.04, 'single_penalty_640': 0.8, 'single_penalty_960': 0.9, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",True,True,True,False
visdrone,image_lockbox,support_soft_b,9,False,0.95,0.95,0.29,150.0,0.25,0.20813140608370304,True,0.2882918010853001,0.28391933992947377,0.4811151492846299,54.619854721549636,72.68671683990608,0.27570680628272254,0.2833306865403206,0.46205744822979294,59.65185185185185,91.2521275550478,True,0.38126355597323175,13,50,"{'name': 'support_soft_b', 'resolution': None, 'nms_iou': 0.4, 'max_det': 300, 'score_floor': 0.0, 'support_iou': 0.5, 'dual_bonus': 0.06, 'single_penalty_640': 0.7, 'single_penalty_960': 0.85, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",True,True,True,False
visdrone,image_lockbox,support_floor,9,False,0.95,0.95,0.29,150.0,0.25,0.21768609941005707,True,0.2899425526469753,0.28556266904036426,0.48873483535528595,52.857142857142854,70.9240049754993,0.27769633507853403,0.2853364763101577,0.4684550084889643,57.977777777777774,89.57805348097375,True,0.4237329666080823,15,50,"{'name': 'support_floor', 'resolution': None, 'nms_iou': 0.4, 'max_det': 300, 'score_floor': 0.0, 'support_iou': 0.45, 'dual_bonus': 0.06, 'single_penalty_640': 0.7, 'single_penalty_960': 0.85, 'unsupported_floor': 0.015, 'seq_center': None, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",True,True,True,False
visdrone,image_lockbox,support_cap200,9,False,0.95,0.95,0.29,150.0,0.25,0.21630516251921658,True,0.2893579195508837,0.2849806566469239,0.48194300219222336,54.35835351089588,72.42521562925235,0.2762303664921466,0.2838585439910677,0.46181599518941674,59.666666666666664,91.26694236986262,True,0.38126355597323175,13,50,"{'name': 'support_cap200', 'resolution': None, 'nms_iou': 0.4, 'max_det': 200, 'score_floor': 0.0, 'support_iou': 0.45, 'dual_bonus': 0.06, 'single_penalty_640': 0.75, 'single_penalty_960': 0.88, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",True,True,True,False
visdrone,sequence,raw960,9,False,0.95,0.95,0.29,150.0,0.25,0.24293668465688828,True,0.28967910472976455,0.2839735406754091,0.4071129292995942,65.58759124087591,87.76866033027392,0.29602787456445995,0.30118926466640317,0.43746752121946997,71.11313868613139,93.29420777552939,False,0.6130177450552665,14,31,"{'name': 'raw960', 'resolution': 960, 'nms_iou': None, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",True,True,True,False
visdrone,sequence,union,9,False,0.95,0.95,0.29,150.0,0.25,0.26925328820943834,True,0.2855348390409265,0.27985377741673434,0.33086294686891843,91.60583941605839,113.77230996531041,0.292404181184669,0.29754758877224124,0.34721652304746276,104.50729927007299,126.63727346896006,False,0.6434278630383421,15,31,"{'name': 'union', 'resolution': None, 'nms_iou': None, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",True,True,True,False
visdrone,sequence,nms040,9,False,0.95,0.95,0.29,150.0,0.25,0.24469862226396813,True,0.2876362297831359,0.2819426714633863,0.4887633792803823,47.24087591240876,69.42194500180678,0.2937979094076655,0.29894827938763335,0.5152357387384334,52.197080291970806,74.37814938136881,False,0.582026568673327,13,31,"{'name': 'nms040', 'resolution': None, 'nms_iou': 0.4, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",True,True,True,False
visdrone,sequence,nms040_cap300,9,False,0.95,0.95,0.29,150.0,0.25,0.24733679033815864,True,0.28903707354106084,0.2833352674944876,0.49205210947771005,46.53284671532847,68.71391580472648,0.29556329849012775,0.30072240484503476,0.5186946259364417,51.35036496350365,73.53143405290167,False,0.582026568673327,13,31,"{'name': 'nms040_cap300', 'resolution': None, 'nms_iou': 0.4, 'max_det': 300, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",True,True,True,False
visdrone,sequence,nms040_cap300_sf003,9,False,0.95,0.95,0.29,150.0,0.25,0.24799164906144144,True,0.28944564045443544,0.28374144133689216,0.49285315020362536,46.35766423357664,68.53873332297466,0.29598141695702673,0.30114257897050956,0.5196488581030108,51.12408759124087,73.30515668063889,False,0.582026568673327,13,31,"{'name': 'nms040_cap300_sf003', 'resolution': None, 'nms_iou': 0.4, 'max_det': 300, 'score_floor': 0.003, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",True,True,True,True
visdrone,sequence,support_soft_a,9,False,0.95,0.95,0.29,150.0,0.25,0.2405763954818249,True,0.28839502840911324,0.2826969943135662,0.4926866207006496,46.456204379562045,68.63727346896006,0.29709639953542394,0.3022630181422089,0.5221562672556599,50.53284671532847,72.71391580472648,False,0.6130177450552665,14,31,"{'name': 'support_soft_a', 'resolution': None, 'nms_iou': 0.4, 'max_det': 300, 'score_floor': 0.0, 'support_iou': 0.45, 'dual_bonus': 0.04, 'single_penalty_640': 0.8, 'single_penalty_960': 0.9, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",True,True,True,False
visdrone,sequence,support_soft_b,9,False,0.95,0.95,0.29,150.0,0.25,0.22605485241860152,True,0.28716926706252677,0.2814784727863526,0.4841080573908284,48.160583941605836,70.34165303100384,0.29639953542392566,0.3015627479455226,0.5143487858719646,52.18978102189781,74.37085011129582,False,0.6130177450552665,14,31,"{'name': 'support_soft_b', 'resolution': None, 'nms_iou': 0.4, 'max_det': 300, 'score_floor': 0.0, 'support_iou': 0.5, 'dual_bonus': 0.06, 'single_penalty_640': 0.7, 'single_penalty_960': 0.85, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",True,True,True,False
visdrone,sequence,support_floor,9,False,0.95,0.95,0.29,150.0,0.25,0.23236245315521964,True,0.28821992276765607,0.28252291980967853,0.4863132226854401,47.667883211678834,69.84895230107685,0.29779326364692216,0.30296327407864027,0.5169995895471337,51.53649635036496,73.71756543976298,False,0.6434278630383421,15,31,"{'name': 'support_floor', 'resolution': None, 'nms_iou': 0.4, 'max_det': 300, 'score_floor': 0.0, 'support_iou': 0.45, 'dual_bonus': 0.06, 'single_penalty_640': 0.7, 'single_penalty_960': 0.85, 'unsupported_floor': 0.015, 'seq_center': None, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",True,True,True,False
visdrone,sequence,support_cap200,9,False,0.95,0.95,0.29,150.0,0.25,0.23983707199618218,True,0.28845339672529835,0.28275501914819545,0.488673650919154,47.2043795620438,69.3854486514418,0.3010452961672474,0.3062309474058342,0.5219427580225499,50.29197080291971,72.47303989231773,False,0.6434278630383421,15,31,"{'name': 'support_cap200', 'resolution': None, 'nms_iou': 0.4, 'max_det': 200, 'score_floor': 0.0, 'support_iou': 0.45, 'dual_bonus': 0.06, 'single_penalty_640': 0.75, 'single_penalty_960': 0.88, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",True,True,True,False
