dataset,split,unit,contract,threshold,alpha,beta_fp,confidence,risk_delta,fp_delta,family_size,threshold_grid_size,bound_method,n_bound_mode,contract_record,unit_count,image_count,n_gt,misses,tp,fp,object_risk,precision,fp_img,z_mean,z_upper,z_upper_hoeffding,fp_upper,fp_upper_hoeffding,n_bound,risk_feasible,utility_feasible,bad_units,bad_unit_cp
uavdt,trainval_seqhash90,sequence,raw640,0.0,0.16,150.0,0.95,0.0025000000000000022,2.450980392156865e-05,10,102,eb,calibration_observed,"{'name': 'raw640', 'resolution': 640, 'nms_iou': None, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",975,1463,39988,3146,36842,127358,0.07867360208062418,0.2243727161997564,87.05263157894737,-3.3354666666666675,110.37985405179772,377.02897042243546,113.84727958625145,119.85382032862506,6862.0,False,True,129,0.1653972439829219
uavdt,trainval_seqhash90,sequence,raw640,0.001,0.16,150.0,0.95,0.0025000000000000022,2.450980392156865e-05,10,102,eb,calibration_observed,"{'name': 'raw640', 'resolution': 640, 'nms_iou': None, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",975,1463,39988,3146,36842,127358,0.07867360208062418,0.2243727161997564,87.05263157894737,-3.3354666666666675,110.37985405179772,377.02897042243546,113.84727958625145,119.85382032862506,6862.0,False,True,129,0.1653972439829219
uavdt,trainval_seqhash90,sequence,raw640,0.003,0.16,150.0,0.95,0.0025000000000000022,2.450980392156865e-05,10,102,eb,calibration_observed,"{'name': 'raw640', 'resolution': 640, 'nms_iou': None, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",975,1463,39988,3287,36701,89099,0.08219965989796939,0.2917408585055644,60.90157211209843,-3.190851282051283,110.58974802256812,377.17358580705087,81.60762491909148,89.08912500027054,6862.0,False,True,94,0.12581538500992115
uavdt,trainval_seqhash90,sequence,raw640,0.005,0.16,150.0,0.95,0.0025000000000000022,2.450980392156865e-05,10,102,eb,calibration_observed,"{'name': 'raw640', 'resolution': 640, 'nms_iou': None, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",975,1463,39988,3350,36638,75071,0.08377513253976193,0.3279771549293253,51.31305536568694,-3.126235897435898,110.68107075755091,377.23820119166623,69.35436743338552,77.7408981330677,6862.0,False,True,91,0.12237746172724084
uavdt,trainval_seqhash90,sequence,raw640,0.0075,0.16,150.0,0.95,0.0025000000000000022,2.450980392156865e-05,10,102,eb,calibration_observed,"{'name': 'raw640', 'resolution': 640, 'nms_iou': None, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",975,1463,39988,3393,36595,65295,0.08485045513654096,0.3591618412012955,44.63089542036911,-3.0821333333333336,110.74713974284654,377.2823037557688,60.777593724902914,69.84811798394796,6862.0,False,True,76,0.10505213809598794
uavdt,trainval_seqhash90,sequence,raw640,0.01,0.16,150.0,0.95,0.0025000000000000022,2.450980392156865e-05,10,102,eb,calibration_observed,"{'name': 'raw640', 'resolution': 640, 'nms_iou': None, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",975,1463,39988,3431,36557,59190,0.08580074022206662,0.3818083073098896,40.457963089542034,-3.043158974358975,110.79893024609227,377.32127811474317,55.38159845237983,64.88574080012519,6862.0,False,True,63,0.08981872429547796
uavdt,trainval_seqhash90,sequence,raw640,0.012658227848101266,0.16,150.0,0.95,0.0025000000000000022,2.450980392156865e-05,10,102,eb,calibration_observed,"{'name': 'raw640', 'resolution': 640, 'nms_iou': None, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",975,1463,39988,3461,36527,54509,0.08655096528958688,0.40123687332483854,37.25837320574163,-3.0123897435897438,110.83715376055909,377.3520473455124,51.27562614737766,61.108804604490494,6862.0,False,True,62,0.08863690073032118
uavdt,trainval_seqhash90,sequence,raw640,0.015,0.16,150.0,0.95,0.0025000000000000022,2.450980392156865e-05,10,102,eb,calibration_observed,"{'name': 'raw640', 'resolution': 640, 'nms_iou': None, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",975,1463,39988,3482,36506,51304,0.08707612283685105,0.41573852636373987,35.067669172932334,-2.9908512820512825,110.86861823831178,377.37358580705086,48.469230173871765,58.52424663077677,6862.0,False,True,63,0.08981872429547796
uavdt,trainval_seqhash90,sequence,raw640,0.02,0.16,150.0,0.95,0.0025000000000000022,2.450980392156865e-05,10,102,eb,calibration_observed,"{'name': 'raw640', 'resolution': 640, 'nms_iou': None, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",975,1463,39988,3530,36458,46182,0.08827648294488347,0.4411665053242982,31.566643882433358,-2.9416205128205135,110.93678389605242,377.4228165762816,44.00927167693487,54.44944072460864,6862.0,False,True,66,0.09335501315378873
uavdt,trainval_seqhash90,sequence,raw640,0.025,0.16,150.0,0.95,0.0025000000000000022,2.450980392156865e-05,10,102,eb,calibration_observed,"{'name': 'raw640', 'resolution': 640, 'nms_iou': None, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",975,1463,39988,3567,36421,42457,0.08920176052815845,0.461738380790588,29.020505809979493,-2.9036717948717956,110.99062588057711,377.4607652942303,40.7798878295326,51.49425102742799,6862.0,False,True,67,0.09453082210517802
