img_id,img_name,seq,n_gt,misses,tp,fp,risk,dataset,split,contract,threshold
2,0000001_03999_d_0000007.jpg,0000001,48,10,38,262,0.20833333333333334,visdrone,image_lockbox,raw960,0.01597293111262843
5,0000001_05499_d_0000010.jpg,0000001,140,34,106,194,0.24285714285714285,visdrone,image_lockbox,raw960,0.01597293111262843
6,0000001_05999_d_0000011.jpg,0000001,115,31,84,216,0.26956521739130435,visdrone,image_lockbox,raw960,0.01597293111262843
20,0000024_00000_d_0000012.jpg,0000024,21,1,20,273,0.047619047619047616,visdrone,image_lockbox,raw960,0.01597293111262843
21,0000024_00500_d_0000013.jpg,0000024,10,2,8,282,0.2,visdrone,image_lockbox,raw960,0.01597293111262843
22,0000024_01000_d_0000014.jpg,0000024,12,3,9,242,0.25,visdrone,image_lockbox,raw960,0.01597293111262843
32,0000026_04000_d_0000032.jpg,0000026,14,0,14,152,0.0,visdrone,image_lockbox,raw960,0.01597293111262843
36,0000055_00714_d_0000110.jpg,0000055,85,23,62,238,0.27058823529411763,visdrone,image_lockbox,raw960,0.01597293111262843
37,0000069_00001_d_0000001.jpg,0000069,34,0,34,266,0.0,visdrone,image_lockbox,raw960,0.01597293111262843
38,0000069_00483_d_0000002.jpg,0000069,27,2,25,262,0.07407407407407407,visdrone,image_lockbox,raw960,0.01597293111262843
43,0000069_02480_d_0000007.jpg,0000069,64,9,55,245,0.140625,visdrone,image_lockbox,raw960,0.01597293111262843
45,0000076_02142_d_0000009.jpg,0000076,11,1,10,214,0.09090909090909091,visdrone,image_lockbox,raw960,0.01597293111262843
46,0000081_00000_d_0000001.jpg,0000081,86,20,66,234,0.23255813953488372,visdrone,image_lockbox,raw960,0.01597293111262843
49,0000086_01084_d_0000003.jpg,0000086,146,32,114,186,0.2191780821917808,visdrone,image_lockbox,raw960,0.01597293111262843
54,0000103_01734_d_0000028.jpg,0000103,4,0,4,272,0.0,visdrone,image_lockbox,raw960,0.01597293111262843
58,0000103_03738_d_0000032.jpg,0000103,3,0,3,253,0.0,visdrone,image_lockbox,raw960,0.01597293111262843
64,0000115_01031_d_0000082.jpg,0000115,63,8,55,245,0.12698412698412698,visdrone,image_lockbox,raw960,0.01597293111262843
65,0000116_00351_d_0000083.jpg,0000116,74,16,58,242,0.21621621621621623,visdrone,image_lockbox,raw960,0.01597293111262843
70,0000117_01326_d_0000088.jpg,0000117,62,18,44,256,0.2903225806451613,visdrone,image_lockbox,raw960,0.01597293111262843
72,0000117_02708_d_0000090.jpg,0000117,100,12,88,212,0.12,visdrone,image_lockbox,raw960,0.01597293111262843
73,0000117_03096_d_0000091.jpg,0000117,24,0,24,276,0.0,visdrone,image_lockbox,raw960,0.01597293111262843
75,0000153_00001_d_0000001.jpg,0000153,55,13,42,254,0.23636363636363636,visdrone,image_lockbox,raw960,0.01597293111262843
82,0000154_00401_d_0000001.jpg,0000154,60,12,48,251,0.2,visdrone,image_lockbox,raw960,0.01597293111262843
94,0000162_00401_d_0000001.jpg,0000162,45,6,39,261,0.13333333333333333,visdrone,image_lockbox,raw960,0.01597293111262843
