contract,threshold,cal_image_mean,cal_image_n,cal_image_fp_per_image,cal_image_precision,cal_image_object_risk,cal_block_mean,cal_block_n,cal_block_fp_per_image,cal_block_precision,cal_block_object_risk,cal_sequence_mean,cal_sequence_n,cal_sequence_fp_per_image,cal_sequence_precision,cal_sequence_object_risk,cal_image_upper,cal_image_pass,cal_block_upper,cal_block_pass,cal_sequence_upper,cal_sequence_pass,cal_all_units_pass,n_declared_tests,cal_delta,selection_target
nms040,0.0,0.1056585174563546,7510,119.10213049267644,0.0922710956900847,0.10197833022213,0.0861020737281475,6309,119.10213049267644,0.0922710956900847,0.10197833022213,0.0752831458524942,5601,119.10213049267644,0.0922710956900847,0.10197833022213,0.12957881653251516,True,0.11220001864424967,True,0.10298148875701689,True,True,270,0.00018518518518518534,0.14
nms040,0.003,0.0925930828854358,7510,84.17416777629828,0.1255303343648368,0.1037265301687951,0.0744633604575288,6309,84.17416777629828,0.1255303343648368,0.1037265301687951,0.0664630854915777,5601,84.17416777629828,0.1255303343648368,0.1037265301687951,0.11651338196159634,True,0.10056130537363096,True,0.0941614283961004,True,True,270,0.00018518518518518534,0.14
nms040,0.0075,0.084859598692429,7510,58.71304926764314,0.1701655961291269,0.1069562554939899,0.0704590586293928,6309,58.71304926764314,0.1701655961291269,0.1069562554939899,0.0646445930695511,5601,58.71304926764314,0.1701655961291269,0.1069562554939899,0.10877989776858954,True,0.09655700354549497,True,0.0923429359740738,True,True,270,0.00018518518518518534,0.14
nms040,0.015,0.0816348557099245,7510,42.714247669773634,0.2191293637096126,0.110897113000879,0.0704944250986647,6309,42.714247669773634,0.2191293637096126,0.110897113000879,0.0660375748119128,5601,42.714247669773634,0.2191293637096126,0.110897113000879,0.10555515478608504,True,0.09659237001476687,True,0.0937359177164355,True,True,270,0.00018518518518518534,0.14
nms040,0.02,0.0811513369310318,7510,36.89054593874834,0.2447077361787742,0.1134453366519501,0.0709739304197097,6309,36.89054593874834,0.2447077361787742,0.1134453366519501,0.0670206281515682,5601,36.89054593874834,0.2447077361787742,0.1134453366519501,0.10507163600719234,True,0.09707187533581187,True,0.0947189710560909,True,True,270,0.00018518518518518534,0.14
nms040,0.03,0.0825378966213445,7510,29.595073235685756,0.2864627643351771,0.1186899364919454,0.0734179364340316,6309,29.595073235685756,0.2864627643351771,0.1186899364919454,0.0698918657681566,5601,29.595073235685756,0.2864627643351771,0.1186899364919454,0.10645819569750505,True,0.09951588135013377,True,0.0975902086726793,True,True,270,0.00018518518518518534,0.14
nms040,0.04,0.0838915349637836,7510,25.01011984021305,0.320932485881834,0.123253034657817,0.0749331577210202,6309,25.01011984021305,0.320932485881834,0.123253034657817,0.0717621155578844,5601,25.01011984021305,0.320932485881834,0.123253034657817,0.10781183403994414,True,0.10103110263712237,True,0.0994604584624071,True,True,270,0.00018518518518518534,0.14
nms040,0.05,0.0861796669433178,7510,21.758189081225037,0.3508475720942797,0.1277272413009768,0.0772394842297434,6309,21.758189081225037,0.3508475720942797,0.1277272413009768,0.0742861793378365,5601,21.758189081225037,0.3508475720942797,0.1277272413009768,0.11009996601947834,True,0.10333742914584557,True,0.1019845222423592,True,True,270,0.00018518518518518534,0.14
nms040,0.075,0.0936147888424493,7510,16.553262316910786,0.4124777874399788,0.1379793969204026,0.0844789051948499,6309,16.553262316910786,0.4124777874399788,0.1379793969204026,0.0817019030314296,5601,16.553262316910786,0.4124777874399788,0.1379793969204026,0.11753508791860984,True,0.11057685011095206,True,0.1094002459359523,True,True,270,0.00018518518518518534,0.14
nms040,0.125,0.1092405663620944,7510,11.077762982689746,0.5060794604478852,0.1580787578891226,0.0982021688353313,6309,11.077762982689746,0.5060794604478852,0.1580787578891226,0.0946264621743797,5601,11.077762982689746,0.5060794604478852,0.1580787578891226,0.13316086543825495,True,0.12430011375143346,True,0.1223248050789024,True,True,270,0.00018518518518518534,0.14
nms040,0.15,0.1191862060006451,7510,9.400665778961384,0.5437307326909281,0.1690420456902426,0.1070395486700483,6309,9.400665778961384,0.5437307326909281,0.1690420456902426,0.1029551992453694,5601,9.400665778961384,0.5437307326909281,0.1690420456902426,0.14310650507680564,False,0.13313749358615046,True,0.13065354214989208,True,False,270,0.00018518518518518534,0.14
nms040,0.175,0.1280342342668114,7510,8.074434087882823,0.5778962682463333,0.1800250871630764,0.1148094693565221,6309,8.074434087882823,0.5778962682463333,0.1800250871630764,0.110293543063565,5601,8.074434087882823,0.5778962682463333,0.1800250871630764,0.15195453334297196,False,0.14090741427262427,False,0.13799188596808767,True,False,270,0.00018518518518518534,0.14
nms040,0.225,0.1478570904648937,7510,6.065113182423436,0.6387952705328184,0.2043813643861052,0.1319007490414055,6309,6.065113182423436,0.6387952705328184,0.2043813643861052,0.125812879395655,5601,6.065113182423436,0.6387952705328184,0.2043813643861052,0.17177738954105426,False,0.15799869395750765,False,0.1535112223001777,False,False,270,0.00018518518518518534,0.14
