lambda_miss,lambda_fp,fp_cap,alpha,image_upper,block_upper,sequence_upper,all_units_pass
0.7,0.3,100.0,0.14,0.15905751169047191,0.14872813330171317,0.1385216527337535,False
0.7,0.3,100.0,0.16,0.15905751169047191,0.14872813330171317,0.1385216527337535,True
0.7,0.3,100.0,0.18,0.15905751169047191,0.14872813330171317,0.1385216527337535,True
0.7,0.3,200.0,0.14,0.14501256787024724,0.13668999819922234,0.12927210886748144,False
0.7,0.3,200.0,0.16,0.14501256787024724,0.13668999819922234,0.12927210886748144,True
0.7,0.3,200.0,0.18,0.14501256787024724,0.13668999819922234,0.12927210886748144,True
0.7,0.3,300.0,0.14,0.13945826075414236,0.13184204897584248,0.12553353140386067,True
0.7,0.3,300.0,0.16,0.13945826075414236,0.13184204897584248,0.12553353140386067,True
0.7,0.3,300.0,0.18,0.13945826075414236,0.13184204897584248,0.12553353140386067,True
0.8,0.2,100.0,0.14,0.16267197903700023,0.15268334871984474,0.14382093037659266,False
0.8,0.2,100.0,0.16,0.16267197903700023,0.15268334871984474,0.14382093037659266,False
0.8,0.2,100.0,0.18,0.16267197903700023,0.15268334871984474,0.14382093037659266,True
0.8,0.2,200.0,0.14,0.1533086831568504,0.1446579253181842,0.13765456779907798,False
0.8,0.2,200.0,0.16,0.1533086831568504,0.1446579253181842,0.13765456779907798,True
0.8,0.2,200.0,0.18,0.1533086831568504,0.1446579253181842,0.13765456779907798,True
0.8,0.2,300.0,0.14,0.14960581174611381,0.14142595916926426,0.1351621828233308,False
0.8,0.2,300.0,0.16,0.14960581174611381,0.14142595916926426,0.1351621828233308,True
0.8,0.2,300.0,0.18,0.14960581174611381,0.14142595916926426,0.1351621828233308,True
0.9,0.1,100.0,0.14,0.16628644638352846,0.15663856413797628,0.14912020801943182,False
0.9,0.1,100.0,0.16,0.16628644638352846,0.15663856413797628,0.14912020801943182,False
0.9,0.1,100.0,0.18,0.16628644638352846,0.15663856413797628,0.14912020801943182,True
0.9,0.1,200.0,0.14,0.16160479844345355,0.15262585243714602,0.14603702673067448,False
0.9,0.1,200.0,0.16,0.16160479844345355,0.15262585243714602,0.14603702673067448,False
0.9,0.1,200.0,0.18,0.16160479844345355,0.15262585243714602,0.14603702673067448,True
0.9,0.1,300.0,0.14,0.15975336273808527,0.15100986936268607,0.1447908342428009,False
0.9,0.1,300.0,0.16,0.15975336273808527,0.15100986936268607,0.1447908342428009,True
0.9,0.1,300.0,0.18,0.15975336273808527,0.15100986936268607,0.1447908342428009,True
