dataset,split,unit,contract,threshold,alpha,beta_fp,confidence,risk_delta,fp_delta,family_size,threshold_grid_size,bound_method,n_bound_mode,contract_record,unit_count,image_count,n_gt,misses,tp,fp,object_risk,precision,fp_img,z_mean,z_upper,z_upper_hoeffding,fp_upper,fp_upper_hoeffding,n_bound,risk_feasible,utility_feasible,bad_units,bad_unit_cp
uavdt,trainval_imagehash90,image,raw640,0.02,0.16,150.0,0.95,0.0025000000000000022,1.4285714285714299e-05,10,175,eb,calibration_observed,"{'name': 'raw640', 'resolution': 640, 'nms_iou': None, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",1392,1392,38755,3362,35393,44297,0.08675009676170817,0.4441335173798469,31.822557471264368,-2.039367816091954,1.465513937782302,9.97584992467148,42.042757253878165,50.813467151013256,259.0,False,True,198,0.17031879068941985
uavdt,trainval_imagehash90,image,raw640,0.025,0.16,150.0,0.95,0.0025000000000000022,1.4285714285714299e-05,10,175,eb,calibration_observed,"{'name': 'raw640', 'resolution': 640, 'nms_iou': None, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",1392,1392,38755,3396,35359,40734,0.0876274029157528,0.46468137673636206,29.262931034482758,-2.014942528735632,1.4905642396790948,10.0002752120278,39.24949426389301,48.25384071423165,259.0,False,True,199,0.17108922027575368
uavdt,trainval_imagehash90,image,raw640,0.03,0.16,150.0,0.95,0.0025000000000000022,1.4285714285714299e-05,10,175,eb,calibration_observed,"{'name': 'raw640', 'resolution': 640, 'nms_iou': None, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",1392,1392,38755,3426,35329,38039,0.08840149658108631,0.4815314578562861,27.326867816091955,-1.9933908045977013,1.5132205490490078,10.02182693616573,37.14363995864172,46.31777749584084,259.0,False,True,201,0.17262940758785922
uavdt,trainval_imagehash90,image,raw640,0.03125,0.16,150.0,0.95,0.0025000000000000022,1.4285714285714299e-05,10,175,eb,calibration_observed,"{'name': 'raw640', 'resolution': 640, 'nms_iou': None, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",1392,1392,38755,3433,35322,37397,0.08858211843633079,0.48573275210055145,26.86566091954023,-1.9883620689655175,1.51877120119603,10.026855671797914,36.6354849847357,45.85657059928912,259.0,False,True,201,0.17262940758785922
uavdt,trainval_imagehash90,image,raw640,0.035,0.16,150.0,0.95,0.0025000000000000022,1.4285714285714299e-05,10,175,eb,calibration_observed,"{'name': 'raw640', 'resolution': 640, 'nms_iou': None, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",1392,1392,38755,3461,35294,35728,0.08930460585730873,0.4969446087127932,25.666666666666668,-1.9682471264367818,1.5395311253501291,10.04697061432665,35.33222881282436,44.65757634641556,259.0,False,True,205,0.17570713316248246
uavdt,trainval_imagehash90,image,raw640,0.037500000000000006,0.16,150.0,0.95,0.0025000000000000022,1.4285714285714299e-05,10,175,eb,calibration_observed,"{'name': 'raw640', 'resolution': 640, 'nms_iou': None, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",1392,1392,38755,3475,35280,34784,0.0896658495677977,0.5035396209180178,24.988505747126435,-1.9581896551724138,1.5518567079959522,10.05702808559102,34.59128372542654,43.97941542687533,259.0,False,True,205,0.17570713316248246
uavdt,trainval_imagehash90,image,raw640,0.04,0.16,150.0,0.95,0.0025000000000000022,1.4285714285714299e-05,10,175,eb,calibration_observed,"{'name': 'raw640', 'resolution': 640, 'nms_iou': None, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",1392,1392,38755,3494,35261,33813,0.09015610888917559,0.5104815125807105,24.290948275862068,-1.9445402298850576,1.5675360565162304,10.070677510878376,33.82338361237071,43.28185795561096,259.0,False,True,207,0.17724469276847576
uavdt,trainval_imagehash90,image,raw640,0.043750000000000004,0.16,150.0,0.95,0.0025000000000000022,1.4285714285714299e-05,10,175,eb,calibration_observed,"{'name': 'raw640', 'resolution': 640, 'nms_iou': None, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",1392,1392,38755,3526,35229,32495,0.09098180879886467,0.5201848679936212,23.3441091954023,-1.9215517241379312,1.5973218368450441,10.093666016625502,32.78234722085527,42.33501887515119,259.0,False,True,207,0.17724469276847576
uavdt,trainval_imagehash90,image,raw640,0.045,0.16,150.0,0.95,0.0025000000000000022,1.4285714285714299e-05,10,175,eb,calibration_observed,"{'name': 'raw640', 'resolution': 640, 'nms_iou': None, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",1392,1392,38755,3535,35220,32054,0.09121403689846472,0.5235306359068882,23.027298850574713,-1.915086206896552,1.6066657213572464,10.10013153386688,32.4305159375144,42.018208530323605,259.0,False,True,207,0.17724469276847576
uavdt,trainval_imagehash90,image,raw640,0.05,0.16,150.0,0.95,0.0025000000000000022,1.4285714285714299e-05,10,175,eb,calibration_observed,"{'name': 'raw640', 'resolution': 640, 'nms_iou': None, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",1392,1392,38755,3581,35174,30594,0.09240098051864276,0.5348193650407493,21.978448275862068,-1.8820402298850576,1.6478464428247355,10.133177510878376,31.266722515070597,40.96935795561096,259.0,False,True,210,0.17954943223266828
uavdt,trainval_imagehash90,image,raw640,0.05625,0.16,150.0,0.95,0.0025000000000000022,1.4285714285714299e-05,10,175,eb,calibration_observed,"{'name': 'raw640', 'resolution': 640, 'nms_iou': None, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",1392,1392,38755,3639,35116,28956,0.0938975616049542,0.5480709202147585,20.801724137931036,-1.8403735632183909,1.703010840887787,10.174844177545042,29.9420303772414,39.79263381767993,259.0,False,True,214,0.1826194837524201
uavdt,trainval_imagehash90,image,raw640,0.0625,0.16,150.0,0.95,0.0025000000000000022,1.4285714285714299e-05,10,175,eb,calibration_observed,"{'name': 'raw640', 'resolution': 640, 'nms_iou': None, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",1392,1392,38755,3710,35045,27434,0.09572958327957683,0.5609084652443221,19.708333333333332,-1.7893678160919542,1.7712146341172035,10.22584992467148,28.69771800618107,38.699243013082224,259.0,False,True,216,0.18415327352866487
uavdt,trainval_imagehash90,image,raw640,0.06875,0.16,150.0,0.95,0.0025000000000000022,1.4285714285714299e-05,10,175,eb,calibration_observed,"{'name': 'raw640', 'resolution': 640, 'nms_iou': None, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",1392,1392,38755,3769,34986,26038,0.09725196748806605,0.57331541688516,18.705459770114942,-1.7469827586206899,1.8304555863351006,10.268234982142744,27.560072350990357,37.69636944986384,259.0,False,True,217,0.18491986350579603
uavdt,trainval_imagehash90,image,raw640,0.075,0.16,150.0,0.95,0.0025000000000000022,1.4285714285714299e-05,10,175,eb,calibration_observed,"{'name': 'raw640', 'resolution': 640, 'nms_iou': None, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",1392,1392,38755,3831,34924,24839,0.09885176106308863,0.5843749477101217,17.8441091954023,-1.7024425287356324,1.8922802066099573,10.3127752120278,26.571646778529406,36.83501887515119,259.0,False,True,217,0.18491986350579603
uavdt,trainval_imagehash90,image,raw640,0.07500000000000001,0.16,150.0,0.95,0.0025000000000000022,1.4285714285714299e-05,10,175,eb,calibration_observed,"{'name': 'raw640', 'resolution': 640, 'nms_iou': None, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",1392,1392,38755,3831,34924,24839,0.09885176106308863,0.5843749477101217,17.8441091954023,-1.7024425287356324,1.8922802066099573,10.3127752120278,26.571646778529406,36.83501887515119,259.0,False,True,217,0.18491986350579603
uavdt,trainval_imagehash90,image,raw640,0.08125,0.16,150.0,0.95,0.0025000000000000022,1.4285714285714299e-05,10,175,eb,calibration_observed,"{'name': 'raw640', 'resolution': 640, 'nms_iou': None, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",1392,1392,38755,3888,34867,23779,0.1003225390272223,0.5945333015039389,17.082614942528735,-1.6614942528735634,1.9476212034718932,10.35372348788987,25.6911484806992,36.07352462227763,259.0,False,True,217,0.18491986350579603
uavdt,trainval_imagehash90,image,raw640,0.08750000000000001,0.16,150.0,0.95,0.0025000000000000022,1.4285714285714299e-05,10,175,eb,calibration_observed,"{'name': 'raw640', 'resolution': 640, 'nms_iou': None, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",1392,1392,38755,3950,34805,22736,0.10192233260224487,0.6048730470447159,16.333333333333332,-1.6169540229885058,2.0082268130670684,10.398263717774928,24.83747334460756,35.324243013082224,259.0,False,True,220,0.18721842740084813
uavdt,trainval_imagehash90,image,raw640,0.09375,0.16,150.0,0.95,0.0025000000000000022,1.4285714285714299e-05,10,175,eb,calibration_observed,"{'name': 'raw640', 'resolution': 640, 'nms_iou': None, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",1392,1392,38755,4011,34744,21776,0.10349632305508967,0.6147204529370135,15.64367816091954,-1.573132183908046,2.0650013075280214,10.442085556855387,24.046068497385072,34.63458784066843,259.0,False,True,222,0.18874980938499772
