dataset,split,unit,contract,threshold,alpha,beta_fp,confidence,risk_delta,fp_delta,family_size,threshold_grid_size,bound_method,n_bound_mode,contract_record,unit_count,image_count,n_gt,misses,tp,fp,object_risk,precision,fp_img,z_mean,z_upper,z_upper_hoeffding,fp_upper,fp_upper_hoeffding,n_bound,risk_feasible,utility_feasible,bad_units,bad_unit_cp,threshold_selection_mode,contract_risk_feasible,joint_feasible,selected
uavdt,trainval_seqhash90,sequence,raw640,0.0,0.16,150.0,0.95,0.0025000000000000022,2.450980392156865e-05,10,102,eb,calibration_observed,"{'name': 'raw640', 'resolution': 640, 'nms_iou': None, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",975,1463,39988,3146,36842,127358,0.07867360208062418,0.2243727161997564,87.05263157894737,-3.3354666666666675,110.37985405179772,377.02897042243546,113.84727958625145,119.85382032862506,6862.0,False,True,129,0.1653972439829219,no_risk_feasible_min_z,False,False,False
uavdt,trainval_seqhash90,sequence,raw960,0.02,0.16,150.0,0.95,0.0025000000000000022,2.450980392156865e-05,10,102,eb,calibration_observed,"{'name': 'raw960', 'resolution': 960, 'nms_iou': None, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",975,1463,39988,1961,38027,215005,0.04903971191357407,0.15028533940371178,146.96172248803828,-4.550851282051282,106.74252732008593,375.81358580705086,177.80762625776316,185.1686739227365,6862.0,False,False,658,0.7163863294603172,no_risk_feasible_min_z,False,False,False
uavdt,trainval_seqhash90,sequence,union,0.02,0.16,150.0,0.95,0.0025000000000000022,2.450980392156865e-05,10,102,eb,calibration_observed,"{'name': 'union', 'resolution': None, 'nms_iou': None, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",975,1463,39988,1355,38633,297039,0.0338851655496649,0.11509151791034104,203.03417634996583,-5.1723897435897435,106.10163105777639,375.1920473455124,236.13616583927805,240.42175785911786,6862.0,False,False,843,0.8937206081488861,no_risk_feasible_min_z,False,False,False
uavdt,trainval_seqhash90,sequence,nms040,0.02,0.16,150.0,0.95,0.0025000000000000022,2.450980392156865e-05,10,102,eb,calibration_observed,"{'name': 'nms040', 'resolution': None, 'nms_iou': 0.4, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",975,1463,39988,1545,38443,139562,0.03863659097729319,0.21596584365607707,95.3943950786056,-4.977517948717948,106.0800396152546,375.3869191403842,116.35766135653823,125.76065856400692,6862.0,False,True,64,0.09099899562415041,no_risk_feasible_min_z,False,False,True
uavdt,trainval_seqhash90,sequence,nms040_cap300,0.02,0.16,150.0,0.95,0.0025000000000000022,2.450980392156865e-05,10,102,eb,calibration_observed,"{'name': 'nms040_cap300', 'resolution': None, 'nms_iou': 0.4, 'max_det': 300, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",975,1463,39988,1569,38419,139386,0.039236771031309396,0.21607378870110514,95.2740943267259,-4.952902564102564,106.09597958874893,375.4115345249996,116.35148877280066,125.75443398398923,6862.0,False,True,64,0.09099899562415041,no_risk_feasible_min_z,False,False,False
uavdt,trainval_seqhash90,sequence,nms040_cap300_sf003,0.02,0.16,150.0,0.95,0.0025000000000000022,2.450980392156865e-05,10,102,eb,calibration_observed,"{'name': 'nms040_cap300_sf003', 'resolution': None, 'nms_iou': 0.4, 'max_det': 300, 'score_floor': 0.003, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",975,1463,39988,1569,38419,139386,0.039236771031309396,0.21607378870110514,95.2740943267259,-4.952902564102564,106.09597958874893,375.4115345249996,116.35148877280066,125.75443398398923,6862.0,False,True,64,0.09099899562415041,no_risk_feasible_min_z,False,False,False
uavdt,trainval_seqhash90,sequence,support_soft_a,0.02,0.16,150.0,0.95,0.0025000000000000022,2.450980392156865e-05,10,102,eb,calibration_observed,"{'name': 'support_soft_a', 'resolution': None, 'nms_iou': 0.4, 'max_det': 300, 'score_floor': 0.0, 'support_iou': 0.45, 'dual_bonus': 0.04, 'single_penalty_640': 0.8, 'single_penalty_960': 0.9, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",975,1463,39988,1607,38381,121512,0.04018705611683505,0.2400417779389967,83.05673274094326,-4.913928205128205,106.08808842480323,375.4505088839739,104.66821037573209,114.05326176721721,6862.0,False,True,58,0.08389337251339314,no_risk_feasible_min_z,False,False,False
uavdt,trainval_seqhash90,sequence,support_soft_b,0.02,0.16,150.0,0.95,0.0025000000000000022,2.450980392156865e-05,10,102,eb,calibration_observed,"{'name': 'support_soft_b', 'resolution': None, 'nms_iou': 0.4, 'max_det': 300, 'score_floor': 0.0, 'support_iou': 0.5, 'dual_bonus': 0.06, 'single_penalty_640': 0.7, 'single_penalty_960': 0.85, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",975,1463,39988,1654,38334,110630,0.04136240872261678,0.2573373432507183,75.61859193438141,-4.865723076923077,106.09817614416619,375.49871401217905,96.69723155954222,106.11485194204937,6862.0,False,True,46,0.06948340355239307,no_risk_feasible_min_z,False,False,False
uavdt,trainval_seqhash90,sequence,support_floor,0.02,0.16,150.0,0.95,0.0025000000000000022,2.450980392156865e-05,10,102,eb,calibration_observed,"{'name': 'support_floor', 'resolution': None, 'nms_iou': 0.4, 'max_det': 300, 'score_floor': 0.0, 'support_iou': 0.45, 'dual_bonus': 0.06, 'single_penalty_640': 0.7, 'single_penalty_960': 0.85, 'unsupported_floor': 0.015, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",975,1463,39988,1641,38347,111433,0.04103731119335801,0.2560221658432367,76.16746411483254,-4.8790564102564105,106.09264949606312,375.48538067884573,97.35025468505705,106.74757604263976,6862.0,False,True,48,0.0719061339705815,no_risk_feasible_min_z,False,False,False
uavdt,trainval_seqhash90,sequence,support_cap200,0.0,0.16,150.0,0.95,0.0025000000000000022,2.450980392156865e-05,10,102,eb,calibration_observed,"{'name': 'support_cap200', 'resolution': None, 'nms_iou': 0.4, 'max_det': 200, 'score_floor': 0.0, 'support_iou': 0.45, 'dual_bonus': 0.06, 'single_penalty_640': 0.75, 'single_penalty_960': 0.88, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",975,1463,39988,2303,37685,252011,0.05759227768330499,0.13008464045067933,172.2563226247437,-4.200082051282052,108.59737857687216,376.1643550378201,179.83881041914424,191.30157400097642,6862.0,False,False,904,0.9485532910476712,no_risk_feasible_min_z,False,False,False
