img_id,img_name,seq,n_gt,misses,tp,fp,risk,dataset,split,contract,threshold
5,dji_399_150m00401_2.jpg,dji_399_150m00401,1,0,1,72,0.0,uavdt,image_lockbox,raw960,0.01664065755903721
6,dji_399_150m00601_3.jpg,dji_399_150m00601,4,0,4,111,0.0,uavdt,image_lockbox,raw960,0.01664065755903721
7,dji_399_150m00701_2.jpg,dji_399_150m00701,3,0,3,76,0.0,uavdt,image_lockbox,raw960,0.01664065755903721
8,dji_399_150m00701_4.jpg,dji_399_150m00701,19,0,19,220,0.0,uavdt,image_lockbox,raw960,0.01664065755903721
10,dji_399_150m00801_2.jpg,dji_399_150m00801,4,0,4,75,0.0,uavdt,image_lockbox,raw960,0.01664065755903721
14,dji_399_150m01101_6.jpg,dji_399_150m01101,14,1,13,221,0.07142857142857142,uavdt,image_lockbox,raw960,0.01664065755903721
16,dji_399_150m01301_6.jpg,dji_399_150m01301,14,0,14,208,0.0,uavdt,image_lockbox,raw960,0.01664065755903721
21,dji_399_150m02201_4.jpg,dji_399_150m02201,22,0,22,263,0.0,uavdt,image_lockbox,raw960,0.01664065755903721
22,dji_399_150m02501_1.jpg,dji_399_150m02501,3,0,3,120,0.0,uavdt,image_lockbox,raw960,0.01664065755903721
31,dji_477_150m01001_3.jpg,dji_477_150m01001,1,0,1,91,0.0,uavdt,image_lockbox,raw960,0.01664065755903721
32,dji_477_150m01001_4.jpg,dji_477_150m01001,30,2,28,212,0.06666666666666667,uavdt,image_lockbox,raw960,0.01664065755903721
44,dji_64_150m00201_4.jpg,dji_64_150m00201,3,0,3,80,0.0,uavdt,image_lockbox,raw960,0.01664065755903721
46,dji_64_150m00601_2.jpg,dji_64_150m00601,5,0,5,65,0.0,uavdt,image_lockbox,raw960,0.01664065755903721
49,dji_64_150m01601_6.jpg,dji_64_150m01601,5,0,5,119,0.0,uavdt,image_lockbox,raw960,0.01664065755903721
51,dji_64_150m02001_3.jpg,dji_64_150m02001,8,0,8,187,0.0,uavdt,image_lockbox,raw960,0.01664065755903721
52,dji_64_150m02201_4.jpg,dji_64_150m02201,4,0,4,80,0.0,uavdt,image_lockbox,raw960,0.01664065755903721
62,dji_65_150m01401_1.jpg,dji_65_150m01401,5,1,4,82,0.2,uavdt,image_lockbox,raw960,0.01664065755903721
63,dji_65_150m01601_5.jpg,dji_65_150m01601,2,0,2,52,0.0,uavdt,image_lockbox,raw960,0.01664065755903721
73,dji_65_150m03001_4.jpg,dji_65_150m03001,4,0,4,110,0.0,uavdt,image_lockbox,raw960,0.01664065755903721
76,djibridge2_150m00601_1.jpg,djibridge2_150m00601,11,2,9,166,0.18181818181818182,uavdt,image_lockbox,raw960,0.01664065755903721
78,djibridge2_150m01201_3.jpg,djibridge2_150m01201,10,0,10,177,0.0,uavdt,image_lockbox,raw960,0.01664065755903721
81,djibridge_150m00201_5.jpg,djibridge_150m00201,17,0,17,217,0.0,uavdt,image_lockbox,raw960,0.01664065755903721
88,lim_1020.jpg,lim,235,70,165,135,0.2978723404255319,uavdt,image_lockbox,raw960,0.01664065755903721
99,lim_1590.jpg,lim,240,81,159,141,0.3375,uavdt,image_lockbox,raw960,0.01664065755903721
102,lim_1980.jpg,lim,242,78,164,136,0.32231404958677684,uavdt,image_lockbox,raw960,0.01664065755903721
103,lim_2010.jpg,lim,240,75,165,135,0.3125,uavdt,image_lockbox,raw960,0.01664065755903721
113,lim_3765.jpg,lim,207,45,162,138,0.21739130434782608,uavdt,image_lockbox,raw960,0.01664065755903721
115,lim_3915.jpg,lim,205,47,158,142,0.22926829268292684,uavdt,image_lockbox,raw960,0.01664065755903721
121,pavilion_048_1785.jpg,pavilion_048,20,5,15,270,0.25,uavdt,image_lockbox,raw960,0.01664065755903721
126,pavilion_048_2070.jpg,pavilion_048,22,5,17,259,0.22727272727272727,uavdt,image_lockbox,raw960,0.01664065755903721
127,pavilion_048_2145.jpg,pavilion_048,23,4,19,257,0.17391304347826086,uavdt,image_lockbox,raw960,0.01664065755903721
134,pavilion_048_2565.jpg,pavilion_048,26,2,24,263,0.07692307692307693,uavdt,image_lockbox,raw960,0.01664065755903721
148,pavilion_048_3645.jpg,pavilion_048,21,5,16,261,0.23809523809523808,uavdt,image_lockbox,raw960,0.01664065755903721
151,pavilion_048_3855.jpg,pavilion_048,20,5,15,256,0.25,uavdt,image_lockbox,raw960,0.01664065755903721
160,pavilion_048_435.jpg,pavilion_048,20,2,18,257,0.1,uavdt,image_lockbox,raw960,0.01664065755903721
173,pavilion_048_5415.jpg,pavilion_048,25,4,21,268,0.16,uavdt,image_lockbox,raw960,0.01664065755903721
176,pavilion_048_5655.jpg,pavilion_048,24,4,20,261,0.16666666666666666,uavdt,image_lockbox,raw960,0.01664065755903721
182,pavilion_048_6000.jpg,pavilion_048,25,1,24,263,0.04,uavdt,image_lockbox,raw960,0.01664065755903721
184,pavilion_048_6135.jpg,pavilion_048,23,3,20,259,0.13043478260869565,uavdt,image_lockbox,raw960,0.01664065755903721
187,pavilion_048_630.jpg,pavilion_048,20,4,16,270,0.2,uavdt,image_lockbox,raw960,0.01664065755903721
188,pavilion_048_6480.jpg,pavilion_048,22,5,17,271,0.22727272727272727,uavdt,image_lockbox,raw960,0.01664065755903721
189,pavilion_048_6525.jpg,pavilion_048,23,5,18,262,0.21739130434782608,uavdt,image_lockbox,raw960,0.01664065755903721
191,pavilion_048_6765.jpg,pavilion_048,23,4,19,261,0.17391304347826086,uavdt,image_lockbox,raw960,0.01664065755903721
198,pavilion_048_7215.jpg,pavilion_048,22,4,18,252,0.18181818181818182,uavdt,image_lockbox,raw960,0.01664065755903721
202,pavilion_048_7485.jpg,pavilion_048,24,4,20,266,0.16666666666666666,uavdt,image_lockbox,raw960,0.01664065755903721
204,pavilion_048_7605.jpg,pavilion_048,24,2,22,256,0.08333333333333333,uavdt,image_lockbox,raw960,0.01664065755903721
205,pavilion_048_7650.jpg,pavilion_048,24,5,19,262,0.20833333333333334,uavdt,image_lockbox,raw960,0.01664065755903721
209,pavilion_048_7995.jpg,pavilion_048,24,2,22,257,0.08333333333333333,uavdt,image_lockbox,raw960,0.01664065755903721
212,pavilion_048_8415.jpg,pavilion_048,21,3,18,252,0.14285714285714285,uavdt,image_lockbox,raw960,0.01664065755903721
219,pavilion_048_990.jpg,pavilion_048,21,4,17,265,0.19047619047619047,uavdt,image_lockbox,raw960,0.01664065755903721
222,train11.jpg,train11,14,1,13,281,0.07142857142857142,uavdt,image_lockbox,raw960,0.01664065755903721
251,traina115.jpg,traina115,2,0,2,226,0.0,uavdt,image_lockbox,raw960,0.01664065755903721
252,traina119.jpg,traina119,3,1,2,199,0.3333333333333333,uavdt,image_lockbox,raw960,0.01664065755903721
254,traina144.jpg,traina144,2,0,2,238,0.0,uavdt,image_lockbox,raw960,0.01664065755903721
255,traina15.jpg,traina15,3,1,2,162,0.3333333333333333,uavdt,image_lockbox,raw960,0.01664065755903721
258,traina162.jpg,traina162,6,1,5,270,0.16666666666666666,uavdt,image_lockbox,raw960,0.01664065755903721
259,traina163.jpg,traina163,2,0,2,228,0.0,uavdt,image_lockbox,raw960,0.01664065755903721
263,traina176.jpg,traina176,19,1,18,282,0.05263157894736842,uavdt,image_lockbox,raw960,0.01664065755903721
264,traina179.jpg,traina179,3,1,2,208,0.3333333333333333,uavdt,image_lockbox,raw960,0.01664065755903721
266,traina181.jpg,traina181,13,6,7,292,0.46153846153846156,uavdt,image_lockbox,raw960,0.01664065755903721
267,traina183.jpg,traina183,3,1,2,146,0.3333333333333333,uavdt,image_lockbox,raw960,0.01664065755903721
278,traina230.jpg,traina230,10,4,6,283,0.4,uavdt,image_lockbox,raw960,0.01664065755903721
283,traina263.jpg,traina263,3,1,2,200,0.3333333333333333,uavdt,image_lockbox,raw960,0.01664065755903721
288,traina323.jpg,traina323,3,1,2,193,0.3333333333333333,uavdt,image_lockbox,raw960,0.01664065755903721
290,traina341.jpg,traina341,8,1,7,288,0.125,uavdt,image_lockbox,raw960,0.01664065755903721
299,traina66.jpg,traina66,6,1,5,260,0.16666666666666666,uavdt,image_lockbox,raw960,0.01664065755903721
301,traina80.jpg,traina80,20,1,19,280,0.05,uavdt,image_lockbox,raw960,0.01664065755903721
303,traina89.jpg,traina89,7,2,5,288,0.2857142857142857,uavdt,image_lockbox,raw960,0.01664065755903721
5,dji_399_150m00401_2.jpg,dji_399_150m00401,1,0,1,11,0.0,uavdt,image_lockbox,union,0.07152492180466656
6,dji_399_150m00601_3.jpg,dji_399_150m00601,4,0,4,13,0.0,uavdt,image_lockbox,union,0.07152492180466656
7,dji_399_150m00701_2.jpg,dji_399_150m00701,3,0,3,9,0.0,uavdt,image_lockbox,union,0.07152492180466656
8,dji_399_150m00701_4.jpg,dji_399_150m00701,19,1,18,27,0.05263157894736842,uavdt,image_lockbox,union,0.07152492180466656
10,dji_399_150m00801_2.jpg,dji_399_150m00801,4,0,4,14,0.0,uavdt,image_lockbox,union,0.07152492180466656
14,dji_399_150m01101_6.jpg,dji_399_150m01101,14,0,14,20,0.0,uavdt,image_lockbox,union,0.07152492180466656
16,dji_399_150m01301_6.jpg,dji_399_150m01301,14,0,14,22,0.0,uavdt,image_lockbox,union,0.07152492180466656
21,dji_399_150m02201_4.jpg,dji_399_150m02201,22,0,22,30,0.0,uavdt,image_lockbox,union,0.07152492180466656
22,dji_399_150m02501_1.jpg,dji_399_150m02501,3,0,3,22,0.0,uavdt,image_lockbox,union,0.07152492180466656
31,dji_477_150m01001_3.jpg,dji_477_150m01001,1,0,1,13,0.0,uavdt,image_lockbox,union,0.07152492180466656
32,dji_477_150m01001_4.jpg,dji_477_150m01001,30,2,28,75,0.06666666666666667,uavdt,image_lockbox,union,0.07152492180466656
44,dji_64_150m00201_4.jpg,dji_64_150m00201,3,0,3,6,0.0,uavdt,image_lockbox,union,0.07152492180466656
46,dji_64_150m00601_2.jpg,dji_64_150m00601,5,0,5,7,0.0,uavdt,image_lockbox,union,0.07152492180466656
49,dji_64_150m01601_6.jpg,dji_64_150m01601,5,0,5,25,0.0,uavdt,image_lockbox,union,0.07152492180466656
51,dji_64_150m02001_3.jpg,dji_64_150m02001,8,0,8,12,0.0,uavdt,image_lockbox,union,0.07152492180466656
52,dji_64_150m02201_4.jpg,dji_64_150m02201,4,0,4,6,0.0,uavdt,image_lockbox,union,0.07152492180466656
62,dji_65_150m01401_1.jpg,dji_65_150m01401,5,1,4,10,0.2,uavdt,image_lockbox,union,0.07152492180466656
63,dji_65_150m01601_5.jpg,dji_65_150m01601,2,0,2,3,0.0,uavdt,image_lockbox,union,0.07152492180466656
73,dji_65_150m03001_4.jpg,dji_65_150m03001,4,0,4,6,0.0,uavdt,image_lockbox,union,0.07152492180466656
76,djibridge2_150m00601_1.jpg,djibridge2_150m00601,11,1,10,65,0.09090909090909091,uavdt,image_lockbox,union,0.07152492180466656
78,djibridge2_150m01201_3.jpg,djibridge2_150m01201,10,0,10,24,0.0,uavdt,image_lockbox,union,0.07152492180466656
81,djibridge_150m00201_5.jpg,djibridge_150m00201,17,0,17,59,0.0,uavdt,image_lockbox,union,0.07152492180466656
88,lim_1020.jpg,lim,235,53,182,375,0.225531914893617,uavdt,image_lockbox,union,0.07152492180466656
99,lim_1590.jpg,lim,240,62,178,362,0.25833333333333336,uavdt,image_lockbox,union,0.07152492180466656
102,lim_1980.jpg,lim,242,59,183,370,0.24380165289256198,uavdt,image_lockbox,union,0.07152492180466656
103,lim_2010.jpg,lim,240,60,180,368,0.25,uavdt,image_lockbox,union,0.07152492180466656
113,lim_3765.jpg,lim,207,28,179,399,0.13526570048309178,uavdt,image_lockbox,union,0.07152492180466656
115,lim_3915.jpg,lim,205,31,174,407,0.15121951219512195,uavdt,image_lockbox,union,0.07152492180466656
121,pavilion_048_1785.jpg,pavilion_048,20,6,14,128,0.3,uavdt,image_lockbox,union,0.07152492180466656
126,pavilion_048_2070.jpg,pavilion_048,22,8,14,137,0.36363636363636365,uavdt,image_lockbox,union,0.07152492180466656
127,pavilion_048_2145.jpg,pavilion_048,23,6,17,113,0.2608695652173913,uavdt,image_lockbox,union,0.07152492180466656
134,pavilion_048_2565.jpg,pavilion_048,26,5,21,125,0.19230769230769232,uavdt,image_lockbox,union,0.07152492180466656
148,pavilion_048_3645.jpg,pavilion_048,21,9,12,139,0.42857142857142855,uavdt,image_lockbox,union,0.07152492180466656
151,pavilion_048_3855.jpg,pavilion_048,20,9,11,122,0.45,uavdt,image_lockbox,union,0.07152492180466656
160,pavilion_048_435.jpg,pavilion_048,20,8,12,129,0.4,uavdt,image_lockbox,union,0.07152492180466656
173,pavilion_048_5415.jpg,pavilion_048,25,7,18,124,0.28,uavdt,image_lockbox,union,0.07152492180466656
176,pavilion_048_5655.jpg,pavilion_048,24,7,17,98,0.2916666666666667,uavdt,image_lockbox,union,0.07152492180466656
182,pavilion_048_6000.jpg,pavilion_048,25,9,16,105,0.36,uavdt,image_lockbox,union,0.07152492180466656
184,pavilion_048_6135.jpg,pavilion_048,23,8,15,103,0.34782608695652173,uavdt,image_lockbox,union,0.07152492180466656
187,pavilion_048_630.jpg,pavilion_048,20,9,11,159,0.45,uavdt,image_lockbox,union,0.07152492180466656
188,pavilion_048_6480.jpg,pavilion_048,22,10,12,141,0.45454545454545453,uavdt,image_lockbox,union,0.07152492180466656
189,pavilion_048_6525.jpg,pavilion_048,23,9,14,134,0.391304347826087,uavdt,image_lockbox,union,0.07152492180466656
191,pavilion_048_6765.jpg,pavilion_048,23,9,14,120,0.391304347826087,uavdt,image_lockbox,union,0.07152492180466656
198,pavilion_048_7215.jpg,pavilion_048,22,9,13,111,0.4090909090909091,uavdt,image_lockbox,union,0.07152492180466656
202,pavilion_048_7485.jpg,pavilion_048,24,8,16,112,0.3333333333333333,uavdt,image_lockbox,union,0.07152492180466656
204,pavilion_048_7605.jpg,pavilion_048,24,6,18,97,0.25,uavdt,image_lockbox,union,0.07152492180466656
205,pavilion_048_7650.jpg,pavilion_048,24,7,17,112,0.2916666666666667,uavdt,image_lockbox,union,0.07152492180466656
209,pavilion_048_7995.jpg,pavilion_048,24,7,17,121,0.2916666666666667,uavdt,image_lockbox,union,0.07152492180466656
212,pavilion_048_8415.jpg,pavilion_048,21,8,13,122,0.38095238095238093,uavdt,image_lockbox,union,0.07152492180466656
219,pavilion_048_990.jpg,pavilion_048,21,5,16,117,0.23809523809523808,uavdt,image_lockbox,union,0.07152492180466656
222,train11.jpg,train11,14,1,13,64,0.07142857142857142,uavdt,image_lockbox,union,0.07152492180466656
251,traina115.jpg,traina115,2,0,2,31,0.0,uavdt,image_lockbox,union,0.07152492180466656
252,traina119.jpg,traina119,3,1,2,16,0.3333333333333333,uavdt,image_lockbox,union,0.07152492180466656
254,traina144.jpg,traina144,2,2,0,78,1.0,uavdt,image_lockbox,union,0.07152492180466656
255,traina15.jpg,traina15,3,1,2,23,0.3333333333333333,uavdt,image_lockbox,union,0.07152492180466656
258,traina162.jpg,traina162,6,2,4,92,0.3333333333333333,uavdt,image_lockbox,union,0.07152492180466656
259,traina163.jpg,traina163,2,0,2,35,0.0,uavdt,image_lockbox,union,0.07152492180466656
263,traina176.jpg,traina176,19,1,18,128,0.05263157894736842,uavdt,image_lockbox,union,0.07152492180466656
264,traina179.jpg,traina179,3,1,2,20,0.3333333333333333,uavdt,image_lockbox,union,0.07152492180466656
266,traina181.jpg,traina181,13,7,6,182,0.5384615384615384,uavdt,image_lockbox,union,0.07152492180466656
267,traina183.jpg,traina183,3,1,2,22,0.3333333333333333,uavdt,image_lockbox,union,0.07152492180466656
278,traina230.jpg,traina230,10,4,6,79,0.4,uavdt,image_lockbox,union,0.07152492180466656
283,traina263.jpg,traina263,3,1,2,20,0.3333333333333333,uavdt,image_lockbox,union,0.07152492180466656
288,traina323.jpg,traina323,3,1,2,24,0.3333333333333333,uavdt,image_lockbox,union,0.07152492180466656
290,traina341.jpg,traina341,8,1,7,93,0.125,uavdt,image_lockbox,union,0.07152492180466656
299,traina66.jpg,traina66,6,1,5,74,0.16666666666666666,uavdt,image_lockbox,union,0.07152492180466656
301,traina80.jpg,traina80,20,1,19,107,0.05,uavdt,image_lockbox,union,0.07152492180466656
303,traina89.jpg,traina89,7,2,5,122,0.2857142857142857,uavdt,image_lockbox,union,0.07152492180466656
5,dji_399_150m00401_2.jpg,dji_399_150m00401,1,0,1,263,0.0,uavdt,image_lockbox,nms040,0.0010750203626230359
6,dji_399_150m00601_3.jpg,dji_399_150m00601,4,0,4,224,0.0,uavdt,image_lockbox,nms040,0.0010750203626230359
7,dji_399_150m00701_2.jpg,dji_399_150m00701,3,0,3,249,0.0,uavdt,image_lockbox,nms040,0.0010750203626230359
8,dji_399_150m00701_4.jpg,dji_399_150m00701,19,0,19,149,0.0,uavdt,image_lockbox,nms040,0.0010750203626230359
10,dji_399_150m00801_2.jpg,dji_399_150m00801,4,0,4,242,0.0,uavdt,image_lockbox,nms040,0.0010750203626230359
14,dji_399_150m01101_6.jpg,dji_399_150m01101,14,0,14,165,0.0,uavdt,image_lockbox,nms040,0.0010750203626230359
16,dji_399_150m01301_6.jpg,dji_399_150m01301,14,0,14,163,0.0,uavdt,image_lockbox,nms040,0.0010750203626230359
21,dji_399_150m02201_4.jpg,dji_399_150m02201,22,0,22,134,0.0,uavdt,image_lockbox,nms040,0.0010750203626230359
22,dji_399_150m02501_1.jpg,dji_399_150m02501,3,0,3,228,0.0,uavdt,image_lockbox,nms040,0.0010750203626230359
31,dji_477_150m01001_3.jpg,dji_477_150m01001,1,0,1,203,0.0,uavdt,image_lockbox,nms040,0.0010750203626230359
32,dji_477_150m01001_4.jpg,dji_477_150m01001,30,2,28,165,0.06666666666666667,uavdt,image_lockbox,nms040,0.0010750203626230359
44,dji_64_150m00201_4.jpg,dji_64_150m00201,3,0,3,164,0.0,uavdt,image_lockbox,nms040,0.0010750203626230359
46,dji_64_150m00601_2.jpg,dji_64_150m00601,5,0,5,144,0.0,uavdt,image_lockbox,nms040,0.0010750203626230359
49,dji_64_150m01601_6.jpg,dji_64_150m01601,5,0,5,171,0.0,uavdt,image_lockbox,nms040,0.0010750203626230359
51,dji_64_150m02001_3.jpg,dji_64_150m02001,8,0,8,164,0.0,uavdt,image_lockbox,nms040,0.0010750203626230359
52,dji_64_150m02201_4.jpg,dji_64_150m02201,4,0,4,169,0.0,uavdt,image_lockbox,nms040,0.0010750203626230359
62,dji_65_150m01401_1.jpg,dji_65_150m01401,5,1,4,156,0.2,uavdt,image_lockbox,nms040,0.0010750203626230359
63,dji_65_150m01601_5.jpg,dji_65_150m01601,2,0,2,176,0.0,uavdt,image_lockbox,nms040,0.0010750203626230359
73,dji_65_150m03001_4.jpg,dji_65_150m03001,4,0,4,163,0.0,uavdt,image_lockbox,nms040,0.0010750203626230359
76,djibridge2_150m00601_1.jpg,djibridge2_150m00601,11,2,9,195,0.18181818181818182,uavdt,image_lockbox,nms040,0.0010750203626230359
78,djibridge2_150m01201_3.jpg,djibridge2_150m01201,10,0,10,164,0.0,uavdt,image_lockbox,nms040,0.0010750203626230359
