label,image_count,gt,tp,fp,misses,boxes_total,boxes_per_image,fp_per_image,miss_rate,precision,box_reduction_vs_baseline
aitod_raw960_t0.0075,1869.0,27105.0,22471.0,100040.0,4634.0,122511.0,65.54895666131621,53.52594970572498,0.17096476664821988,0.1834202643027973,
aitod_nmscap_t0.075,1869.0,27105.0,22138.0,32719.0,4967.0,54857.0,29.350989834135902,17.506153023006956,0.18325032281866815,0.4035583425998505,0.5522279632033041
aitod_nmscap_t0.125,1869.0,27105.0,21490.0,22493.0,5615.0,43983.0,23.53290529695024,12.034777956126272,0.20715735104224312,0.48859786735784283,0.6409873399123344
aitod_nmscap_t0.15,1869.0,27105.0,21177.0,19227.0,5928.0,40404.0,21.617977528089888,10.287319422150883,0.218705035971223,0.5241312741312741,0.6702010431716335
uavdt_raw960_t0.175,272.0,7957.0,6990.0,3283.0,967.0,10273.0,37.768382352941174,12.069852941176471,0.12152821415106196,0.6804244135111457,
uavdt_nmscap_t0.125,272.0,7957.0,7352.0,7461.0,605.0,14813.0,54.45955882352941,27.43014705882353,0.07603368103556617,0.496320799297914,-0.441935169862747
uavdt_nmscap_t0.15,272.0,7957.0,7332.0,6820.0,625.0,14152.0,52.029411764705884,25.073529411764707,0.07854719115244439,0.5180893159977389,-0.3775917453518933
visdrone_raw960_t0.175,548.0,38759.0,22302.0,18652.0,16457.0,40954.0,74.73357664233576,34.03649635036496,0.42459815784720967,0.5445621917273038,
visdrone_nmscap_t0.125,548.0,38759.0,27285.0,33337.0,11474.0,60622.0,110.62408759124088,60.833941605839414,0.29603446941355555,0.450084127874369,-0.48024612980417053
visdrone_nmscap_t0.15,548.0,38759.0,26421.0,27536.0,12338.0,53957.0,98.46167883211679,50.24817518248175,0.3183260662039784,0.4896676983523917,-0.3175025638521268
