img_id,img_name,seq,n_gt,misses,tp,fp,risk,dataset,split,contract,threshold
209,pavilion_048_7995.jpg,pavilion_048,24,5,19,245,0.20833333333333334,uavdt,image_lockbox,raw640,0.001
212,pavilion_048_8415.jpg,pavilion_048,21,5,16,229,0.23809523809523808,uavdt,image_lockbox,raw640,0.001
219,pavilion_048_990.jpg,pavilion_048,21,4,17,218,0.19047619047619047,uavdt,image_lockbox,raw640,0.001
222,train11.jpg,train11,14,0,14,121,0.0,uavdt,image_lockbox,raw640,0.001
251,traina115.jpg,traina115,2,0,2,107,0.0,uavdt,image_lockbox,raw640,0.001
252,traina119.jpg,traina119,3,1,2,78,0.3333333333333333,uavdt,image_lockbox,raw640,0.001
254,traina144.jpg,traina144,2,1,1,142,0.5,uavdt,image_lockbox,raw640,0.001
255,traina15.jpg,traina15,3,2,1,60,0.6666666666666666,uavdt,image_lockbox,raw640,0.001
258,traina162.jpg,traina162,6,2,4,188,0.3333333333333333,uavdt,image_lockbox,raw640,0.001
259,traina163.jpg,traina163,2,0,2,110,0.0,uavdt,image_lockbox,raw640,0.001
263,traina176.jpg,traina176,19,0,19,241,0.0,uavdt,image_lockbox,raw640,0.001
264,traina179.jpg,traina179,3,1,2,81,0.3333333333333333,uavdt,image_lockbox,raw640,0.001
266,traina181.jpg,traina181,13,10,3,211,0.7692307692307693,uavdt,image_lockbox,raw640,0.001
267,traina183.jpg,traina183,3,3,0,57,1.0,uavdt,image_lockbox,raw640,0.001
278,traina230.jpg,traina230,10,6,4,161,0.6,uavdt,image_lockbox,raw640,0.001
283,traina263.jpg,traina263,3,1,2,81,0.3333333333333333,uavdt,image_lockbox,raw640,0.001
288,traina323.jpg,traina323,3,1,2,96,0.3333333333333333,uavdt,image_lockbox,raw640,0.001
290,traina341.jpg,traina341,8,3,5,176,0.375,uavdt,image_lockbox,raw640,0.001
299,traina66.jpg,traina66,6,2,4,170,0.3333333333333333,uavdt,image_lockbox,raw640,0.001
301,traina80.jpg,traina80,20,0,20,231,0.0,uavdt,image_lockbox,raw640,0.001
303,traina89.jpg,traina89,7,3,4,168,0.42857142857142855,uavdt,image_lockbox,raw640,0.001
5,dji_399_150m00401_2.jpg,dji_399_150m00401,1,0,1,50,0.0,uavdt,image_lockbox,raw960,0.018750000000000003
6,dji_399_150m00601_3.jpg,dji_399_150m00601,4,0,4,78,0.0,uavdt,image_lockbox,raw960,0.018750000000000003
7,dji_399_150m00701_2.jpg,dji_399_150m00701,3,0,3,58,0.0,uavdt,image_lockbox,raw960,0.018750000000000003
8,dji_399_150m00701_4.jpg,dji_399_150m00701,19,0,19,171,0.0,uavdt,image_lockbox,raw960,0.018750000000000003
10,dji_399_150m00801_2.jpg,dji_399_150m00801,4,0,4,52,0.0,uavdt,image_lockbox,raw960,0.018750000000000003
