dataset,split,contract,family_size,family_correct,confidence,per_candidate_confidence,risk_confidence,fp_confidence,alpha,alpha_select,beta_fp,iou,threshold,threshold_feasible,cal_cp,cal_risk,cal_misses,cal_n_gt,cal_tp,cal_fp,cal_precision,cal_images,cal_fp_img,cal_fp_upper,eval_risk,eval_misses,eval_n_gt,eval_tp,eval_fp,eval_cp,eval_precision,eval_images,eval_fp_img,eval_fp_upper,eval_pass,group_bad_cp,group_bad,group_n,contract_record,cal_feasible,utility_feasible,joint_feasible,selected,selection_mode
uavdt,random1,support_floor,9,True,0.95,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.16,0.16,150.0,0.25,0.03246000441722572,True,0.15979611993273074,0.14665768647920524,871,5939,5068,13632,0.27101604278074864,153,89.09803921568627,130.7058157493293,0.14975562072336265,766,5115,4349,13234,0.1582078380740623,0.2473411818233521,152,87.0657894736842,116.84656218178637,True,0.2980158219592647,17,81,"{'name': 'support_floor', 'resolution': None, 'nms_iou': 0.4, 'max_det': 300, 'score_floor': 0.0, 'support_iou': 0.45, 'dual_bonus': 0.06, 'single_penalty_640': 0.7, 'single_penalty_960': 0.85, 'unsupported_floor': 0.015, 'seq_center': None, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",True,True,True,True,joint_feasible_min_fp_upper
uavdt,random2,support_floor,9,True,0.95,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.16,0.16,150.0,0.25,0.025851990890223542,True,0.1599465980868701,0.14703493095044678,905,6155,5250,15523,0.25273191161604003,153,101.45751633986929,143.0652928735123,0.13655848132271892,669,4899,4230,14890,0.14489051952050408,0.22123430962343096,152,97.96052631578948,127.74129902389163,True,0.2811485134553598,16,82,"{'name': 'support_floor', 'resolution': None, 'nms_iou': 0.4, 'max_det': 300, 'score_floor': 0.0, 'support_iou': 0.45, 'dual_bonus': 0.06, 'single_penalty_640': 0.7, 'single_penalty_960': 0.85, 'unsupported_floor': 0.015, 'seq_center': None, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",True,True,True,True,joint_feasible_min_fp_upper
uavdt,random3,support_soft_a,9,True,0.95,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.16,0.16,150.0,0.25,0.05594199375249447,True,0.159603837823406,0.14687747035573123,929,6325,5396,10060,0.349120082815735,153,65.7516339869281,107.35941052057113,0.16345950518079932,773,4729,3956,11271,0.1725634687680976,0.2598016680895777,152,74.15131578947368,103.93208849757585,False,0.33057277753794256,20,83,"{'name': 'support_soft_a', 'resolution': None, 'nms_iou': 0.4, 'max_det': 300, 'score_floor': 0.0, 'support_iou': 0.45, 'dual_bonus': 0.04, 'single_penalty_640': 0.8, 'single_penalty_960': 0.9, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",True,True,True,True,joint_feasible_min_fp_upper
uavdt,random4,support_soft_a,9,True,0.95,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.16,0.16,150.0,0.25,0.04544012518599629,True,0.15971265019991415,0.14566473988439307,756,5190,4434,11385,0.28029584676654656,153,74.41176470588235,116.01954123952541,0.15654843110504774,918,5864,4946,12013,0.1645651329043916,0.2916445545138275,152,79.03289473684211,108.81366744494426,True,0.32275268407594404,18,78,"{'name': 'support_soft_a', 'resolution': None, 'nms_iou': 0.4, 'max_det': 300, 'score_floor': 0.0, 'support_iou': 0.45, 'dual_bonus': 0.04, 'single_penalty_640': 0.8, 'single_penalty_960': 0.9, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",True,True,True,True,joint_feasible_min_fp_upper
uavdt,random5,support_floor,9,True,0.95,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.16,0.16,150.0,0.25,0.030414121598005318,True,0.1592833425705611,0.14558472553699284,793,5447,4654,14007,0.24939713841701946,153,91.54901960784314,133.1567961414862,0.146780809702158,823,5607,4784,13768,0.1547796183352688,0.2578697714532126,152,90.57894736842105,120.3597200765232,True,0.30443562774407523,18,83,"{'name': 'support_floor', 'resolution': None, 'nms_iou': 0.4, 'max_det': 300, 'score_floor': 0.0, 'support_iou': 0.45, 'dual_bonus': 0.06, 'single_penalty_640': 0.7, 'single_penalty_960': 0.85, 'unsupported_floor': 0.015, 'seq_center': None, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",True,True,True,True,joint_feasible_min_fp_upper
uavdt,image_lockbox,support_floor,9,True,0.95,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.16,0.16,150.0,0.25,0.03033904024399817,True,0.15987977235610848,0.14912082957619477,1323,8872,7549,22198,0.25377348976367364,237,93.66244725738396,127.09319193224655,0.13382218148487626,292,2182,1890,5611,0.146404978447367,0.2519664044794028,68,82.51470588235294,127.03964144559356,True,0.3597923909253817,9,40,"{'name': 'support_floor', 'resolution': None, 'nms_iou': 0.4, 'max_det': 300, 'score_floor': 0.0, 'support_iou': 0.45, 'dual_bonus': 0.06, 'single_penalty_640': 0.7, 'single_penalty_960': 0.85, 'unsupported_floor': 0.015, 'seq_center': None, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",True,True,True,True,joint_feasible_min_fp_upper
uavdt,sequence_lockbox,raw960,9,True,0.95,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.16,0.16,150.0,0.25,0.3322201183065773,True,0.15832749175890953,0.13179916317991633,189,1434,1245,865,0.590047393364929,125,6.92,52.95256946252357,0.26985446985446987,2596,9620,7024,2433,0.2774014452184111,0.7427302527228508,180,13.516666666666667,40.88330819222653,False,0.554816074869456,17,41,"{'name': 'raw960', 'resolution': 960, 'nms_iou': None, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",True,True,True,True,joint_feasible_min_fp_upper
