dataset,split,contract,family_size,threshold_grid_size,family_correct,confidence,per_candidate_confidence,risk_confidence,fp_confidence,alpha,alpha_select,beta_fp,iou,threshold,threshold_feasible,cal_cp,cal_risk,cal_misses,cal_n_gt,cal_tp,cal_fp,cal_precision,cal_images,cal_fp_img,cal_fp_upper,eval_risk,eval_misses,eval_n_gt,eval_tp,eval_fp,eval_cp,eval_precision,eval_images,eval_fp_img,eval_fp_upper,eval_pass,group_bad_cp,group_bad,group_n,contract_record,cal_feasible,utility_feasible,joint_feasible,selected,selection_mode
uavdt,random1,support_soft_b,10,175,False,0.95,0.95,0.95,0.95,0.16,0.151,150.0,0.25,0.025,True,0.14943421484346847,0.14177470954706178,842,5939,5097,15468,0.24784828592268418,153,101.09803921568627,130.78132959118003,0.14447702834799608,739,5115,4376,15113,0.1528106267325428,0.22453691826158345,152,99.42763157894737,129.20840428704952,True,0.2980158219592647,17,81,"{'name': 'support_soft_b', 'resolution': None, 'nms_iou': 0.4, 'max_det': 300, 'score_floor': 0.0, 'support_iou': 0.5, 'dual_bonus': 0.06, 'single_penalty_640': 0.7, 'single_penalty_960': 0.85, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",True,True,True,True,joint_feasible_min_fp_upper
uavdt,random2,nms040_cap300,10,175,False,0.95,0.95,0.95,0.95,0.16,0.151,150.0,0.25,0.025,True,0.15002095891424289,0.14248578391551583,877,6155,5278,16677,0.2404008198588021,153,109.0,138.68329037549375,0.13084302918963053,641,4899,4258,16108,0.13903314779619894,0.20907394677403515,152,105.97368421052632,135.75445691862848,True,0.3079317543502073,18,82,"{'name': 'nms040_cap300', 'resolution': None, 'nms_iou': 0.4, 'max_det': 300, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",True,True,True,True,joint_feasible_min_fp_upper
uavdt,random3,support_soft_a,10,175,False,0.95,0.95,0.95,0.95,0.16,0.151,150.0,0.25,0.037500000000000006,True,0.1503644712839128,0.14292490118577075,904,6325,5421,12141,0.30867782712675096,153,79.3529411764706,109.03623155196433,0.15690420807781771,742,4729,3987,13677,0.16586600832474926,0.2257133152173913,152,89.98026315789474,119.7610358659969,True,0.264553372351856,15,83,"{'name': 'support_soft_a', 'resolution': None, 'nms_iou': 0.4, 'max_det': 300, 'score_floor': 0.0, 'support_iou': 0.45, 'dual_bonus': 0.04, 'single_penalty_640': 0.8, 'single_penalty_960': 0.9, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",True,True,True,True,joint_feasible_min_fp_upper
uavdt,random4,support_soft_a,10,175,False,0.95,0.95,0.95,0.95,0.16,0.151,150.0,0.25,0.035,True,0.15061299723697813,0.14238921001926783,739,5190,4451,13034,0.2545610523305691,153,85.18954248366013,114.87283285915387,0.15330832196452934,899,5864,4965,13731,0.16125988962403875,0.2655648267008986,152,90.33552631578948,120.11629902389161,True,0.30879340862533367,17,78,"{'name': 'support_soft_a', 'resolution': None, 'nms_iou': 0.4, 'max_det': 300, 'score_floor': 0.0, 'support_iou': 0.45, 'dual_bonus': 0.04, 'single_penalty_640': 0.8, 'single_penalty_960': 0.9, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",True,True,True,True,joint_feasible_min_fp_upper
uavdt,random5,support_soft_b,10,175,False,0.95,0.95,0.95,0.95,0.16,0.151,150.0,0.25,0.025,True,0.14973627647461416,0.14172939232605103,772,5447,4675,15374,0.2331787121552197,153,100.48366013071896,130.1669505062127,0.14428393080078472,809,5607,4798,15207,0.1522286099254393,0.2398400399900025,152,100.04605263157895,129.8268253396811,True,0.3175459341962819,19,83,"{'name': 'support_soft_b', 'resolution': None, 'nms_iou': 0.4, 'max_det': 300, 'score_floor': 0.0, 'support_iou': 0.5, 'dual_bonus': 0.06, 'single_penalty_640': 0.7, 'single_penalty_960': 0.85, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",True,True,True,True,joint_feasible_min_fp_upper
uavdt,image_lockbox,support_soft_a,10,175,False,0.95,0.95,0.95,0.95,0.16,0.151,150.0,0.25,0.025,True,0.14894713335994247,0.14269612263300271,1266,8872,7606,25488,0.22983018069740738,237,107.54430379746836,131.39404017668969,0.12419798350137488,271,2182,1911,6545,0.1364160087151318,0.2259933774834437,68,96.25,140.7749355632406,True,0.3597923909253817,9,40,"{'name': 'support_soft_a', 'resolution': None, 'nms_iou': 0.4, 'max_det': 300, 'score_floor': 0.0, 'support_iou': 0.45, 'dual_bonus': 0.04, 'single_penalty_640': 0.8, 'single_penalty_960': 0.9, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",True,True,True,True,joint_feasible_min_fp_upper
uavdt,sequence_lockbox,raw960,10,175,False,0.95,0.95,0.95,0.95,0.16,0.151,150.0,0.25,0.34375,True,0.15031763902047146,0.13458856345885634,193,1434,1241,822,0.6015511391177897,125,6.576,39.415969830671834,0.2739085239085239,2635,9620,6985,2316,0.2814894393151053,0.7509945167186324,180,12.866666666666667,40.233308192226524,False,0.6023017079074977,19,41,"{'name': 'raw960', 'resolution': 960, 'nms_iou': None, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",True,True,True,True,joint_feasible_min_fp_upper
