label,cache,contract,threshold,top_k,iou,image_count,reviewed_images,reviewed_image_share,gt,tp,fp,misses,boxes_total,boxes_per_image,recall,miss_rate,precision,baseline_label,delta_recall_vs_baseline,delta_precision_vs_baseline,delta_boxes_vs_baseline,review_budget_interpretation
aitod_raw960_t0.0075,/root/zjh_UAV_detection/experiments/aitod/oracle_route/cache_val_baseline640,raw960,0.0075,25,0.25,1869,1867,0.9989299090422686,27105,9971,19595,17134,29566,15.819154628143393,0.3678657074340528,0.6321342925659472,0.3372454846783467,,,,,Sensitivity point for the review-list budget.
aitod_raw960_t0.0075,/root/zjh_UAV_detection/experiments/aitod/oracle_route/cache_val_baseline640,raw960,0.0075,50,0.25,1869,1867,0.9989299090422686,27105,13615,32416,13490,46031,24.6286784376672,0.5023058476295886,0.4976941523704113,0.2957789315895809,,,,,Primary offline review anchor: same loose-triage recall at about half the boxes.
aitod_raw960_t0.0075,/root/zjh_UAV_detection/experiments/aitod/oracle_route/cache_val_baseline640,raw960,0.0075,100,0.25,1869,1867,0.9989299090422686,27105,17448,52584,9657,70032,37.47030497592295,0.6437188710570005,0.3562811289429994,0.2491432488005483,,,,,Sensitivity point for the review-list budget.
aitod_raw960_t0.0075,/root/zjh_UAV_detection/experiments/aitod/oracle_route/cache_val_baseline640,raw960,0.0075,300,0.25,1869,1867,0.9989299090422686,27105,22471,100040,4634,122511,65.54895666131621,0.8290352333517801,0.1709647666482198,0.1834202643027973,,,,,Sensitivity point for the review-list budget.
aitod_nmscap_t0.125,/root/zjh_UAV_detection/experiments/aitod/oracle_route/cache_val_baseline640,nms040_cap300,0.125,25,0.25,1869,1820,0.9737827715355806,27105,9951,6759,17154,16710,8.940609951845907,0.3671278361925844,0.6328721638074156,0.5955116696588869,aitod_raw960_t0.0075,-0.0007378712414684,0.2582661849805401,-12856.0,Sensitivity point for the review-list budget.
aitod_nmscap_t0.125,/root/zjh_UAV_detection/experiments/aitod/oracle_route/cache_val_baseline640,nms040_cap300,0.125,50,0.25,1869,1820,0.9737827715355806,27105,13577,10621,13528,24198,12.947030497592296,0.5009038922707988,0.4990961077292012,0.5610794280519051,aitod_raw960_t0.0075,-0.0014019553587898,0.2653004964623242,-21833.0,Primary offline review anchor: same loose-triage recall at about half the boxes.
aitod_nmscap_t0.125,/root/zjh_UAV_detection/experiments/aitod/oracle_route/cache_val_baseline640,nms040_cap300,0.125,100,0.25,1869,1820,0.9737827715355806,27105,17242,15326,9863,32568,17.425361155698234,0.6361187972698764,0.3638812027301236,0.5294153770572341,aitod_raw960_t0.0075,-0.0076000737871241,0.2802721282566857,-37464.0,Sensitivity point for the review-list budget.
aitod_nmscap_t0.125,/root/zjh_UAV_detection/experiments/aitod/oracle_route/cache_val_baseline640,nms040_cap300,0.125,300,0.25,1869,1820,0.9737827715355806,27105,21490,22493,5615,43983,23.53290529695024,0.7928426489577569,0.2071573510422431,0.4885978673578428,aitod_raw960_t0.0075,-0.0361925843940231,0.3051776030550455,-78528.0,Sensitivity point for the review-list budget.
